timestamp,global_epoch,phase,phase_epoch,phase_total_epochs,completed_train_epochs,completed_prune_epochs,lr,train_loss,train_acc,val_loss,val_acc,best_val_acc,best_epoch,sparsity,target_sparsity,neuron_sparsity,l2_lambda
2026-06-06T00:46:06Z,1,warmup,1,85,1,0,5.9999999999999995e-05,4.80542187149955,0.04990889645884496,4.451750667208347,0.08372377266245672,0.08372377266245672,1,,,,
2026-06-06T02:08:18Z,2,warmup,2,85,2,0,0.00011999999999999999,4.243230709109667,0.11009381967157457,3.9265201426397445,0.15491953554695456,0.15491953554695456,2,,,,
2026-06-06T03:30:39Z,3,warmup,3,85,3,0,0.00017999999999999998,3.874711253493257,0.15739975781170426,3.722232823363145,0.18333672845793442,0.18333672845793442,3,,,,
2026-06-06T04:52:51Z,4,warmup,4,85,4,0,0.00023999999999999998,3.7316053275094103,0.17619764375686106,3.5509314139764987,0.2064575269912406,0.2064575269912406,4,,,,
2026-06-06T06:14:54Z,5,warmup,5,85,5,0,0.0003,3.6767854531841686,0.1850703364606557,3.5764055405063284,0.2055408433489509,0.2064575269912406,4,,,,
2026-06-06T07:37:19Z,6,cosine,6,85,6,0,0.0003,3.5915332316105713,0.19937529000350834,3.520284671165667,0.21755958443674883,0.21755958443674883,6,,,,
2026-06-06T08:59:41Z,7,cosine,7,85,7,0,0.00029988733910489047,3.5290309498470123,0.20775002546372268,3.460347018238968,0.22927276431045018,0.22927276431045018,7,,,,
2026-06-06T10:21:39Z,8,cosine,8,85,8,0,0.00029954953455959415,3.458420878849709,0.2220549790065753,3.383693333530795,0.23691179466286413,0.23691179466286413,8,,,,
2026-06-06T11:43:45Z,9,cosine,9,85,9,0,0.0002989871205025312,3.4230523265555806,0.2270458686524598,3.435213125026452,0.22866164188225707,0.23691179466286413,8,,,,
2026-06-06T13:05:50Z,10,cosine,10,85,10,0,0.00029820098622592746,3.386969449576477,0.23109742986159051,3.4625173845755444,0.2285597881442249,0.23691179466286413,8,,,,
2026-06-06T14:27:47Z,11,cosine,11,85,11,0,0.0002971923747696606,3.328908470560076,0.23970982673351365,3.3301954109135945,0.25402322265227134,0.25402322265227134,11,,,,
2026-06-06T15:50:00Z,12,cosine,12,85,12,0,0.0002959628809557584,3.2813924719528282,0.2493634069329229,3.340682104032621,0.25178244041556325,0.25402322265227134,11,,,,
2026-06-06T17:12:15Z,13,cosine,13,85,13,0,0.0002945144488666574,3.2481161191015806,0.25580289946922286,3.275894933476373,0.2578936646974944,0.2578936646974944,13,,,,
2026-06-06T18:34:17Z,14,cosine,14,85,14,0,0.000292849368771209,3.196404699467823,0.26260454272812667,3.231908574612327,0.2688938684049705,0.2688938684049705,14,,,,
2026-06-06T19:56:26Z,15,cosine,15,85,15,0,0.0002909702735032937,3.165205492380634,0.2694401376172746,3.2949863421404575,0.2638011815033612,0.2688938684049705,14,,,,
2026-06-06T21:18:28Z,16,cosine,16,85,16,0,0.0002888801342987694,3.1204842957996908,0.2770792544221998,3.2095593463915577,0.27123650437971075,0.27123650437971075,16,,,,
2026-06-06T22:40:46Z,17,cosine,17,85,17,0,0.00028658225609733704,3.1091444907436276,0.2775998460859429,3.1608345399298234,0.2797922183744143,0.2797922183744143,17,,,,
2026-06-07T00:02:48Z,18,cosine,18,85,18,0,0.00028408027231675127,3.100379358569857,0.27959167506026417,3.173306717215014,0.28121817070686494,0.28121817070686494,18,,,,
2026-06-07T01:25:12Z,19,cosine,19,85,19,0,0.00028137813910764054,3.0506271718347344,0.28874729801609306,3.1618203461158054,0.2830515379914443,0.2830515379914443,19,,,,
2026-06-07T02:47:17Z,20,cosine,20,85,20,0,0.00027848012909801933,3.016695698096469,0.29440590305677844,3.100221288838001,0.29140354451008355,0.29140354451008355,20,,,,
2026-06-07T04:11:30Z,21,cosine,21,85,21,0,0.00027539082463738564,3.0117535679195817,0.29579791989678705,3.1426589098499274,0.28671827256060295,0.29140354451008355,20,,,,
2026-06-07T05:35:39Z,22,cosine,22,85,22,0,0.000272115110551084,3.003213075825679,0.29884224940867576,3.0488906498716863,0.30138521083723774,0.30138521083723774,22,,,,
2026-06-07T06:59:57Z,23,cosine,23,85,23,0,0.0002686581664163927,2.958753295596171,0.3073867430201107,3.0614754283323773,0.30545936035852517,0.30545936035852517,23,,,,
2026-06-07T08:24:13Z,24,cosine,24,85,24,0,0.00026502545837254777,2.9259585531396226,0.3116759656409502,3.067139674456937,0.30067223467101245,0.30545936035852517,23,,,,
2026-06-07T09:48:35Z,25,cosine,25,85,25,0,0.0002612227304776529,2.908211485674401,0.3141770690689331,3.026818769967442,0.30423711550213894,0.30545936035852517,23,,,,
2026-06-07T11:12:57Z,26,cosine,26,85,26,0,0.00025725599562614307,2.8859045317861565,0.31973381921888616,3.026076360835784,0.3056630678345895,0.3056630678345895,26,,,,
2026-06-07T12:37:13Z,27,cosine,27,85,27,0,0.00025313152604116275,2.855505184069497,0.3238646008985865,2.987428205856895,0.3162558565899368,0.3162558565899368,27,,,,
2026-06-07T14:06:26Z,28,cosine,28,85,28,0,0.00024885584335689135,2.8310033378863775,0.3280859202589378,2.9750227268612974,0.31961702994499896,0.31961702994499896,28,,,,
2026-06-07T15:46:29Z,29,cosine,29,85,29,0,0.0002444357083064997,2.804973368703482,0.33332578852661243,2.9475227890881097,0.3217559584436749,0.3217559584436749,29,,,,
2026-06-07T17:18:06Z,30,cosine,30,85,30,0,0.00023987811003204086,2.7694449709919913,0.3393691787100644,2.9329445530135123,0.3297005500101854,0.3297005500101854,30,,,,
2026-06-07T18:39:59Z,31,cosine,31,85,31,0,0.0002351902550331801,2.745111238929334,0.3435565464401716,2.9257562944859443,0.3271542065593807,0.3297005500101854,30,,,,
2026-06-07T20:01:54Z,32,cosine,32,85,32,0,0.00023037955577223768,2.7282790040647678,0.3475854732291396,2.9253271887369907,0.3281727439397026,0.3297005500101854,30,,,,
2026-06-07T21:23:44Z,33,cosine,33,85,33,0,0.00022545361895356212,2.6910488784850823,0.35513405235341383,2.912680826548477,0.33469138317376246,0.33469138317376246,33,,,,
2026-06-07T22:45:29Z,34,cosine,34,85,34,0,0.00022042023349576743,2.684648672093888,0.353979696925114,2.896483595052157,0.3373395803625993,0.3373395803625993,34,,,,
2026-06-08T00:07:13Z,35,cosine,35,85,35,0,0.0002152873582158516,2.6457398815752744,0.36206018492321274,2.8820448552646662,0.33988592381340393,0.33988592381340393,35,,,,
2026-06-08T01:28:57Z,36,cosine,36,85,36,0,0.0002100631092446711,2.6182023173480173,0.3687599732913842,2.853589531651192,0.34844163780810755,0.34844163780810755,36,,,,
2026-06-08T02:50:49Z,37,cosine,37,85,37,0,0.0002047557471936697,2.5912463244542874,0.3739772071388961,2.862957177615792,0.34416378081075577,0.34844163780810755,36,,,,
2026-06-08T04:12:41Z,38,cosine,38,85,38,0,0.00019937366409315374,2.5604634629213727,0.3790133656251061,2.8332122422741106,0.35618252189855365,0.35618252189855365,38,,,,
2026-06-08T05:34:45Z,39,cosine,39,85,39,0,0.00019392537012276765,2.5409459247297272,0.3820690123470762,2.8707458418774054,0.3456915868812385,0.35618252189855365,38,,,,
2026-06-08T06:56:43Z,40,cosine,40,85,40,0,0.0001884194801551503,2.5170388685108303,0.38793132716922624,2.833405598187597,0.35546954573232836,0.35618252189855365,38,,,,
2026-06-08T08:18:46Z,41,cosine,41,85,41,0,0.00018286470013405094,2.4927149642146693,0.3924129423614491,2.8065746606161213,0.3581177429211652,0.3581177429211652,41,,,,
2026-06-08T09:58:48Z,42,cosine,42,85,42,0,0.00017726981330844224,2.457467569615715,0.3985129185953079,2.7943495743190665,0.3661641882257079,0.3661641882257079,42,,,,
2026-06-08T11:33:17Z,43,cosine,43,85,43,0,0.0001716436663443988,2.436392651269541,0.4032435124093209,2.822966237640303,0.36351599103687104,0.3661641882257079,42,,,,
2026-06-08T12:55:28Z,44,cosine,44,85,44,0,0.0001659951553366993,2.4179778451692147,0.4072045359378006,2.818851299552039,0.3566917905887146,0.3661641882257079,42,,,,
2026-06-08T14:17:47Z,45,cosine,45,85,45,0,0.00016033321174227248,2.409319638715529,0.4091058272314709,2.8159784841352917,0.3597474027296802,0.3661641882257079,42,,,,
2026-06-08T15:39:54Z,46,cosine,46,85,46,0,0.00015466678825772748,2.3814182823191428,0.4134516359027173,2.8351848404721736,0.36086779384803425,0.3661641882257079,42,,,,
2026-06-08T17:02:02Z,47,cosine,47,85,47,0,0.00014900484466330067,2.368996498980417,0.41547741650728265,2.7900814539450303,0.36860867793848034,0.36860867793848034,47,,,,
2026-06-08T18:23:57Z,48,cosine,48,85,48,0,0.00014335633365560122,2.3384816272978566,0.4225959416484648,2.777560400171177,0.3694235078427378,0.3694235078427378,48,,,,
2026-06-08T19:47:11Z,49,cosine,49,85,49,0,0.00013773018669155777,2.3206454266376504,0.42571949163092315,2.7684628526847312,0.3731920961499287,0.3731920961499287,49,,,,
2026-06-08T21:10:40Z,50,cosine,50,85,50,0,0.0001321352998659491,2.285486172073757,0.43266825862088476,2.7538199792886418,0.3767569769810552,0.3767569769810552,50,,,,
2026-06-08T22:34:04Z,51,cosine,51,85,51,0,0.00012658051984484965,2.2697531572122003,0.4369122124013988,2.7434754715502008,0.37818292931350583,0.37818292931350583,51,,,,
2026-06-08T23:57:25Z,52,cosine,52,85,52,0,0.00012107462987723235,2.2496888572812113,0.43885877253539457,2.740105092246218,0.38083112650234263,0.38083112650234263,52,,,,
2026-06-09T01:20:42Z,53,cosine,53,85,53,0,0.00011562633590684628,2.2285123235822293,0.44371385566030264,2.73283544446864,0.38368303116724384,0.38368303116724384,53,,,,
2026-06-09T02:44:05Z,54,cosine,54,85,54,0,0.00011024425280633034,2.211109417603871,0.4477314652391892,2.7435069654351656,0.38083112650234263,0.38368303116724384,53,,,,
2026-06-09T04:07:19Z,55,cosine,55,85,55,0,0.00010493689075532887,2.1843519230674424,0.4527110376749924,2.727270108809853,0.38490527602363006,0.38490527602363006,55,,,,
2026-06-09T05:30:46Z,56,cosine,56,85,56,0,9.971264178414835e-05,2.165073516370171,0.45645703421192607,2.750490049306621,0.38459971480953353,0.38490527602363006,55,,,,
2026-06-09T06:53:36Z,57,cosine,57,85,57,0,9.45797665042326e-05,2.1484522421205865,0.45875442785844434,2.7476757166462873,0.38459971480953353,0.38490527602363006,55,,,,
2026-06-09T08:15:49Z,58,cosine,58,85,58,0,8.954638104643789e-05,2.1345730135236596,0.4636774142438406,2.7313060861518754,0.38938684049704625,0.38938684049704625,58,,,,
2026-06-09T09:38:19Z,59,cosine,59,85,59,0,8.462044422776234e-05,2.1118889674599144,0.46725365262955376,2.718314256316461,0.39009981666327154,0.39009981666327154,59,,,,
2026-06-09T11:00:36Z,60,cosine,60,85,60,0,7.98097449668199e-05,2.0962135938845763,0.4713278482588472,2.7217865452112697,0.3873497657364025,0.39009981666327154,59,,,,
2026-06-09T12:23:09Z,61,cosine,61,85,61,0,7.512188996795908e-05,2.0786531881708594,0.474372177770736,2.7182560377437635,0.39386840497046244,0.39386840497046244,61,,,,
2026-06-09T13:45:37Z,62,cosine,62,85,62,0,7.056429169350026e-05,2.0595252944752858,0.4784576906101108,2.7176781596513844,0.3908127928294968,0.39386840497046244,61,,,,
