timestamp,global_epoch,phase,phase_epoch,phase_total_epochs,completed_train_epochs,completed_prune_epochs,lr,train_loss,train_acc,val_loss,val_acc,best_val_acc,best_epoch,sparsity,target_sparsity,neuron_sparsity,l2_lambda
2026-06-04T19:52:09Z,1,warmup,1,40,1,0,0.0002,4.809111901214394,0.046717443215898415,4.492574886334455,0.0787329394988796,0.0787329394988796,1,,,,
2026-06-04T19:58:02Z,2,warmup,2,40,2,0,0.0004,4.251660222075556,0.10874707167189145,3.901635091837566,0.1618455897331432,0.1618455897331432,2,,,,
2026-06-04T20:03:56Z,3,warmup,3,40,3,0,0.0006,3.8199954697688634,0.16365817498670227,3.58905208953458,0.20727235689549806,0.20727235689549806,3,,,,
2026-06-04T20:09:46Z,4,warmup,4,40,4,0,0.0008,3.6085953971736604,0.19491630923144826,3.446556442355546,0.229170910572418,0.229170910572418,4,,,,
2026-06-04T20:15:39Z,5,warmup,5,40,5,0,0.001,3.5058332135978705,0.21115650569821529,3.4378278712969883,0.23049500916683643,0.23049500916683643,5,,,,
2026-06-04T20:21:32Z,6,cosine,6,40,6,0,0.001,3.3808569228430176,0.23173119362614727,3.2991012292812596,0.2507639030352414,0.2507639030352414,6,,,,
2026-06-04T20:27:23Z,7,cosine,7,40,7,0,0.0009979737337401414,3.302365108739782,0.24479125406004912,3.3053807416742216,0.24811570584640455,0.2507639030352414,6,,,,
2026-06-04T20:34:38Z,8,cosine,8,40,8,0,0.0009919122223498535,3.2617065376213916,0.2524982741254626,3.305524554168117,0.2542269301283357,0.2542269301283357,8,,,,
2026-06-04T20:47:51Z,9,cosine,9,40,9,0,0.000981867180507089,3.2104456831984445,0.2616878487115356,3.203843160082595,0.2707272356895498,0.2707272356895498,9,,,,
2026-06-04T21:04:09Z,10,cosine,10,40,10,0,0.0009679243089670689,3.1705225367377765,0.2669616686094544,3.1397745518461946,0.28254226930128334,0.28254226930128334,10,,,,
2026-06-04T21:20:13Z,11,cosine,11,40,11,0,0.0009502025633936548,3.1288580751328947,0.274917667296658,3.133479254433715,0.2793848034222856,0.28254226930128334,10,,,,
2026-06-04T21:34:14Z,12,cosine,12,40,12,0,0.0009288531394715668,3.0892795735441854,0.2823304398999559,3.1362260795946058,0.2804033408026075,0.28254226930128334,10,,,,
2026-06-04T21:40:47Z,13,cosine,13,40,13,0,0.000904058182958114,3.0707984159437465,0.28632541505867976,3.0860185747016446,0.29181095946221225,0.29181095946221225,13,,,,
2026-06-04T21:46:29Z,14,cosine,14,40,14,0,0.0008760292356798131,2.9954781364511462,0.29749550140899267,3.0102136835932463,0.31004277856997353,0.31004277856997353,14,,,,
2026-06-04T21:53:17Z,15,cosine,15,40,15,0,0.0008450054307321148,2.95381601499689,0.30550808614660313,2.993782501352807,0.3085149724994907,0.31004277856997353,14,,,,
2026-06-04T21:59:34Z,16,cosine,16,40,16,0,0.0008112514522801468,2.896488730177649,0.31672344133724156,2.9901535101591583,0.31258912202077815,0.31258912202077815,16,,,,
2026-06-04T22:05:15Z,17,cosine,17,40,17,0,0.0007750552773667441,2.851287534667789,0.32553954799062934,3.0119006408404663,0.30902424118965166,0.31258912202077815,16,,,,
2026-06-04T22:10:56Z,18,cosine,18,40,18,0,0.0007367257189938558,2.7973515799464304,0.3346725365262955,2.9120301676272473,0.3245060093705439,0.3245060093705439,18,,,,
2026-06-04T22:16:36Z,19,cosine,19,40,19,0,0.0006965897914388978,2.729555836869115,0.347721279750116,2.8720108659429155,0.3364228967203096,0.3364228967203096,19,,,,
2026-06-04T22:22:08Z,20,cosine,20,40,20,0,0.0006549899202842395,2.6733131289645358,0.35904980704156814,2.843933353892264,0.3422285597881442,0.3422285597881442,20,,,,
2026-06-04T22:27:39Z,21,cosine,21,40,21,0,0.000612281020962871,2.6236258161795,0.3662928214936454,2.84328522932799,0.339376655123243,0.3422285597881442,20,,,,
2026-06-04T22:33:07Z,22,cosine,22,40,22,0,0.0005688274707450685,2.5623055240553483,0.38046196851552155,2.7991231133773193,0.3558769606844571,0.3558769606844571,22,,,,
2026-06-04T22:38:38Z,23,cosine,23,40,23,0,0.0005250000000000001,2.5117287023736017,0.3894591505302113,2.7626554054358166,0.36127520880016295,0.36127520880016295,23,,,,
2026-06-04T22:44:08Z,24,cosine,24,40,24,0,0.00048117252925493153,2.4621236637764046,0.3992032684102715,2.754784869817445,0.364025259727032,0.364025259727032,24,,,,
2026-06-04T22:49:37Z,25,cosine,25,40,25,0,0.00043771897903712906,2.4077182522903247,0.4098753975170041,2.729689650245149,0.3697290690568344,0.3697290690568344,25,,,,
2026-06-04T22:55:07Z,26,cosine,26,40,26,0,0.00039501007971576063,2.3501512539613265,0.4220753499847218,2.7000554907610907,0.3754328783866368,0.3754328783866368,26,,,,
2026-06-04T23:00:36Z,27,cosine,27,40,27,0,0.00035341020856110233,2.302557951943083,0.42977105284005385,2.707273644812361,0.3746180484823793,0.3754328783866368,26,,,,
2026-06-04T23:06:06Z,28,cosine,28,40,28,0,0.00031327428100614435,2.249202046740963,0.4412127522323197,2.6568611810007754,0.38561825218985535,0.38561825218985535,28,,,,
