timestamp,global_epoch,phase,phase_epoch,phase_total_epochs,completed_train_epochs,completed_prune_epochs,lr,train_loss,train_acc,val_loss,val_acc,best_val_acc,best_epoch,sparsity,target_sparsity,neuron_sparsity,l2_lambda
2026-05-29T20:54:26Z,1,warmup,1,20,1,0,0.0002,2.3016848735809328,0.10758333333333334,2.309856498336792,0.1008,0.1008,1,,,,
2026-05-29T20:58:18Z,2,warmup,2,20,2,0,0.0004,2.295163585027059,0.12118333333333334,2.3059973594665526,0.1009,0.1009,2,,,,
2026-05-29T21:02:09Z,3,warmup,3,20,3,0,0.0006,2.079358942222595,0.20323333333333332,1.8774497478485108,0.2614,0.2614,3,,,,
2026-05-29T21:05:59Z,4,warmup,4,20,4,0,0.0008,1.8601138549804688,0.26306666666666667,1.8353000305175782,0.2641,0.2641,4,,,,
2026-05-29T21:09:48Z,5,warmup,5,20,5,0,0.001,1.8151605044047037,0.29256666666666664,1.7663823354721069,0.3097,0.3097,5,,,,
2026-05-29T21:13:39Z,6,cosine,6,20,6,0,0.001,1.7194449122746784,0.34776666666666667,1.5866903463363649,0.4083,0.4083,6,,,,
2026-05-29T21:17:28Z,7,cosine,7,20,7,0,0.000952960212253649,1.578175953610738,0.413,1.5168370185852051,0.4301,0.4301,7,,,,
2026-05-29T21:21:17Z,8,cosine,8,20,8,0,0.0008211576558828984,1.5164820995966592,0.43916666666666665,1.5691953332901,0.4205,0.4301,7,,,,
2026-05-29T21:25:07Z,9,cosine,9,20,9,0,0.0006306974436292493,1.4861096099853515,0.45221666666666666,1.4370759368896484,0.4738,0.4738,9,,,,
2026-05-29T21:28:56Z,10,cosine,10,20,10,0,0.00041930255637075066,1.4431165537516275,0.47125,1.4854378677368163,0.4513,0.4738,9,,,,
2026-05-29T21:32:45Z,11,cosine,11,20,11,0,0.00022884234411710158,1.4151019267400107,0.48231666666666667,1.3900681911468507,0.4912,0.4912,11,,,,
2026-05-29T21:36:33Z,12,cosine,12,20,12,0,9.703978774635096e-05,1.3962413024902345,0.4866,1.3833729177474976,0.4896,0.4912,11,,,,
2026-05-29T21:40:23Z,13,cosine,13,20,13,0,5e-05,1.387455847422282,0.4904,1.3752640329360961,0.4951,0.4951,13,,,,
2026-05-29T21:44:12Z,14,cosine,14,20,14,0,9.703978774635091e-05,1.3878688196818034,0.48991666666666667,1.3742811721801758,0.4956,0.4956,14,,,,
2026-05-29T21:48:00Z,15,cosine,15,20,15,0,0.00022884234411710147,1.3890442729314167,0.48886666666666667,1.36484571018219,0.4988,0.4988,15,,,,
2026-05-29T21:51:52Z,16,cosine,16,20,16,0,0.00041930255637075056,1.3892357763290406,0.4879833333333333,1.3833452550888061,0.4895,0.4988,15,,,,
2026-05-29T21:55:41Z,17,cosine,17,20,17,0,0.0006306974436292493,1.386258087348938,0.4943,1.3279472492218019,0.5149,0.5149,17,,,,
2026-05-29T21:59:30Z,18,cosine,18,20,18,0,0.0008211576558828983,1.3577513274510702,0.5044333333333333,1.3305333644866943,0.5216,0.5216,18,,,,
2026-05-29T22:03:19Z,19,cosine,19,20,19,0,0.000952960212253649,1.3238822875340779,0.5188833333333334,1.2676360834121705,0.5459,0.5459,19,,,,
2026-05-29T22:07:06Z,20,cosine,20,20,20,0,0.001,1.2982946917851765,0.5309166666666667,1.212550203895569,0.549,0.549,20,,,,
