timestamp,global_epoch,phase,phase_epoch,phase_total_epochs,completed_train_epochs,completed_prune_epochs,lr,train_loss,train_acc,val_loss,val_acc,best_val_acc,best_epoch,sparsity,target_sparsity,neuron_sparsity,l2_lambda
2026-05-29T17:40:11Z,1,warmup,1,20,1,0,0.0002,1.142962853082021,0.6344833333333333,0.7007860989570618,0.7817,0.7817,1,,,,
2026-05-29T17:40:21Z,2,warmup,2,20,2,0,0.0004,0.56199898091952,0.8255833333333333,0.38571438138484954,0.8821,0.8821,2,,,,
2026-05-29T17:40:30Z,3,warmup,3,20,3,0,0.0006,0.35481453138987223,0.89055,0.2638599709510803,0.9188,0.9188,3,,,,
2026-05-29T17:40:39Z,4,warmup,4,20,4,0,0.0008,0.2646802566846212,0.9180166666666667,0.20569243693947792,0.9351,0.9351,4,,,,
2026-05-29T17:40:48Z,5,warmup,5,20,5,0,0.001,0.22055398577054341,0.93105,0.2156707089960575,0.931,0.9351,4,,,,
2026-05-29T17:40:57Z,6,cosine,6,20,6,0,0.001,0.18381703387101492,0.94275,0.1736329092234373,0.9477,0.9477,6,,,,
2026-05-29T17:41:06Z,7,cosine,7,20,7,0,0.000952960212253649,0.1536589330593745,0.9519166666666666,0.14958260822147132,0.9536,0.9536,7,,,,
2026-05-29T17:41:15Z,8,cosine,8,20,8,0,0.0008211576558828984,0.13110146498680114,0.9596333333333333,0.12959764314293862,0.9611,0.9611,8,,,,
2026-05-29T17:41:24Z,9,cosine,9,20,9,0,0.0006306974436292493,0.11162987443804741,0.96515,0.1146898376956582,0.9646,0.9646,9,,,,
2026-05-29T17:41:33Z,10,cosine,10,20,10,0,0.00041930255637075066,0.09391535033981005,0.9707833333333333,0.10069845744520425,0.9709,0.9709,10,,,,
2026-05-29T17:41:42Z,11,cosine,11,20,11,0,0.00022884234411710158,0.08218087216814358,0.9747,0.09913668903410434,0.9702,0.9709,10,,,,
2026-05-29T17:41:51Z,12,cosine,12,20,12,0,9.703978774635096e-05,0.07288259414037068,0.9779,0.09186565346308052,0.9733,0.9733,12,,,,
2026-05-29T17:42:00Z,13,cosine,13,20,13,0,5e-05,0.06795691715677579,0.97955,0.0912584888972342,0.9736,0.9736,13,,,,
2026-05-29T17:42:09Z,14,cosine,14,20,14,0,9.703978774635091e-05,0.07017944455146789,0.978,0.0895858992382884,0.9745,0.9745,14,,,,
2026-05-29T17:42:18Z,15,cosine,15,20,15,0,0.00022884234411710147,0.07538678611020247,0.9771,0.09516016869544983,0.9712,0.9745,14,,,,
2026-05-29T17:42:28Z,16,cosine,16,20,16,0,0.00041930255637075056,0.08174867387612661,0.9744333333333334,0.09509901774972677,0.9715,0.9745,14,,,,
2026-05-29T17:42:37Z,17,cosine,17,20,17,0,0.0006306974436292493,0.09036244127551715,0.97135,0.10686679926663638,0.9675,0.9745,14,,,,
2026-05-29T17:42:46Z,18,cosine,18,20,18,0,0.0008211576558828983,0.09500236627658208,0.96945,0.11161566573493183,0.9661,0.9745,14,,,,
2026-05-29T17:42:55Z,19,cosine,19,20,19,0,0.000952960212253649,0.09654386786619822,0.969,0.09929129258543253,0.9709,0.9745,14,,,,
2026-05-29T17:43:04Z,20,cosine,20,20,20,0,0.001,0.0910152150909106,0.9706833333333333,0.10306809681206941,0.9691,0.9745,14,,,,
