timestamp,global_epoch,phase,phase_epoch,phase_total_epochs,completed_train_epochs,completed_prune_epochs,lr,train_loss,train_acc,val_loss,val_acc,best_val_acc,best_epoch,sparsity,target_sparsity,neuron_sparsity,l2_lambda
2026-05-29T18:05:36Z,1,warmup,1,20,1,0,0.0002,1.1496831473032634,0.6152666666666666,0.6634278539657593,0.7886,0.7886,1,,,,
2026-05-29T18:05:46Z,2,warmup,2,20,2,0,0.0004,0.5025875633716583,0.838,0.2826048768877983,0.9158,0.9158,2,,,,
2026-05-29T18:05:56Z,3,warmup,3,20,3,0,0.0006,0.2442132751027743,0.9234,0.14117034645974635,0.9563,0.9563,3,,,,
2026-05-29T18:06:06Z,4,warmup,4,20,4,0,0.0008,0.16109852220217385,0.94915,0.10351492314636708,0.9682,0.9682,4,,,,
2026-05-29T18:06:16Z,5,warmup,5,20,5,0,0.001,0.13162596783638,0.9584833333333334,0.093020090739429,0.9724,0.9724,5,,,,
2026-05-29T18:06:26Z,6,cosine,6,20,6,0,0.001,0.10588206607898076,0.9672666666666667,0.08819343256726861,0.9715,0.9724,5,,,,
2026-05-29T18:06:36Z,7,cosine,7,20,7,0,0.000952960212253649,0.08639883234302202,0.9726833333333333,0.07747744874507188,0.9754,0.9754,7,,,,
2026-05-29T18:06:46Z,8,cosine,8,20,8,0,0.0008211576558828984,0.06919204710622628,0.97805,0.0660785389741417,0.9788,0.9788,8,,,,
2026-05-29T18:06:55Z,9,cosine,9,20,9,0,0.0006306974436292493,0.057149109842379885,0.9814,0.06856047711223363,0.9802,0.9802,9,,,,
2026-05-29T18:07:05Z,10,cosine,10,20,10,0,0.00041930255637075066,0.04523152577926715,0.9854,0.05838833817392588,0.9805,0.9805,10,,,,
2026-05-29T18:07:15Z,11,cosine,11,20,11,0,0.00022884234411710158,0.03439272731145223,0.9890666666666666,0.044576106829196216,0.9862,0.9862,11,,,,
2026-05-29T18:07:25Z,12,cosine,12,20,12,0,9.703978774635096e-05,0.02766076035052538,0.9914833333333334,0.04250640464797616,0.9872,0.9872,12,,,,
2026-05-29T18:07:35Z,13,cosine,13,20,13,0,5e-05,0.025294985378533603,0.9920166666666667,0.042162440583948045,0.9867,0.9872,12,,,,
2026-05-29T18:07:45Z,14,cosine,14,20,14,0,9.703978774635091e-05,0.026550605731457472,0.9915333333333334,0.04289593131765723,0.9863,0.9872,12,,,,
2026-05-29T18:07:55Z,15,cosine,15,20,15,0,0.00022884234411710147,0.03062208049694697,0.9899333333333333,0.045565842188475654,0.9853,0.9872,12,,,,
2026-05-29T18:08:05Z,16,cosine,16,20,16,0,0.00041930255637075056,0.03743508146504561,0.98765,0.04888359819985926,0.9847,0.9872,12,,,,
2026-05-29T18:08:15Z,17,cosine,17,20,17,0,0.0006306974436292493,0.0458604523619016,0.9844833333333334,0.0629167076288024,0.98,0.9872,12,,,,
2026-05-29T18:08:25Z,18,cosine,18,20,18,0,0.0008211576558828983,0.05142586675981681,0.9827833333333333,0.07194365095980465,0.9772,0.9872,12,,,,
2026-05-29T18:08:35Z,19,cosine,19,20,19,0,0.000952960212253649,0.053638301402827104,0.98315,0.06832593636680394,0.9779,0.9872,12,,,,
2026-05-29T18:08:45Z,20,cosine,20,20,20,0,0.001,0.05268131211896737,0.9823666666666667,0.06150766126476228,0.9819,0.9872,12,,,,
