timestamp,global_epoch,phase,phase_epoch,phase_total_epochs,completed_train_epochs,completed_prune_epochs,lr,train_loss,train_acc,val_loss,val_acc,best_val_acc,best_epoch,sparsity,target_sparsity,neuron_sparsity,l2_lambda
2026-06-01T19:28:08Z,1,warmup,1,20,1,0,0.0002,1.8906862780888876,0.30845,1.5718256052017212,0.441,0.441,1,,,,
2026-06-01T19:30:29Z,2,warmup,2,20,2,0,0.0004,1.444789145596822,0.4845,1.11106668510437,0.6208,0.6208,2,,,,
2026-06-01T19:32:51Z,3,warmup,3,20,3,0,0.0006,1.0278642751375835,0.65145,0.7392399150848389,0.749,0.749,3,,,,
2026-06-01T19:35:11Z,4,warmup,4,20,4,0,0.0008,0.6565283504803976,0.7808333333333334,0.4234053382396698,0.8597,0.8597,4,,,,
2026-06-01T19:37:30Z,5,warmup,5,20,5,0,0.001,0.4846198698838552,0.8428166666666667,0.41994164819717406,0.858,0.8597,4,,,,
2026-06-01T19:39:48Z,6,cosine,6,20,6,0,0.001,0.3987997568925222,0.87245,0.33798305164575576,0.8927,0.8927,6,,,,
2026-06-01T19:42:06Z,7,cosine,7,20,7,0,0.000952960212253649,0.3362473556836446,0.8936166666666666,0.28467154023647306,0.9092,0.9092,7,,,,
2026-06-01T19:44:23Z,8,cosine,8,20,8,0,0.0008211576558828984,0.28140673107306163,0.9111166666666667,0.24209966190755366,0.9233,0.9233,8,,,,
2026-06-01T19:46:41Z,9,cosine,9,20,9,0,0.0006306974436292493,0.23273853155771893,0.9262666666666667,0.1930819020986557,0.9377,0.9377,9,,,,
2026-06-01T19:49:00Z,10,cosine,10,20,10,0,0.00041930255637075066,0.20032775934537253,0.9368333333333333,0.17976491906046868,0.9443,0.9443,10,,,,
2026-06-01T19:51:17Z,11,cosine,11,20,11,0,0.00022884234411710158,0.17773821053504943,0.9441166666666667,0.16861268532276152,0.9461,0.9461,11,,,,
2026-06-01T19:53:35Z,12,cosine,12,20,12,0,9.703978774635096e-05,0.1579303986231486,0.9497666666666666,0.16546187430620193,0.9472,0.9472,12,,,,
2026-06-01T19:55:53Z,13,cosine,13,20,13,0,5e-05,0.15321675122181574,0.95185,0.1554796315610409,0.9492,0.9492,13,,,,
2026-06-01T19:58:12Z,14,cosine,14,20,14,0,9.703978774635091e-05,0.15298975146611532,0.95135,0.15851378367245197,0.9474,0.9492,13,,,,
2026-06-01T20:00:30Z,15,cosine,15,20,15,0,0.00022884234411710147,0.1612772587140401,0.9490166666666666,0.16017679120004177,0.9482,0.9492,13,,,,
2026-06-01T20:02:47Z,16,cosine,16,20,16,0,0.00041930255637075056,0.1706308502117793,0.9457666666666666,0.17622536034584046,0.9435,0.9492,13,,,,
2026-06-01T20:05:04Z,17,cosine,17,20,17,0,0.0006306974436292493,0.1809898813088735,0.9426333333333333,0.17121990842819215,0.944,0.9492,13,,,,
2026-06-01T20:07:22Z,18,cosine,18,20,18,0,0.0008211576558828983,0.1815414697011312,0.9424333333333333,0.17677525924146176,0.946,0.9492,13,,,,
2026-06-01T20:09:39Z,19,cosine,19,20,19,0,0.000952960212253649,0.18246103572050731,0.942,0.18331715698242187,0.9442,0.9492,13,,,,
2026-06-01T20:11:55Z,20,cosine,20,20,20,0,0.001,0.17509361640612284,0.9449833333333333,0.158274333691597,0.951,0.951,20,,,,
