timestamp,global_epoch,phase,phase_epoch,phase_total_epochs,completed_train_epochs,completed_prune_epochs,lr,train_loss,train_acc,val_loss,val_acc,best_val_acc,best_epoch,sparsity,target_sparsity,neuron_sparsity,l2_lambda
2026-06-01T17:52:51Z,1,warmup,1,20,1,0,0.0002,2.3033212136586507,0.10805,2.2921660873413088,0.1049,0.1049,1,,,,
2026-06-01T17:55:31Z,2,warmup,2,20,2,0,0.0004,2.279274222056071,0.1272,2.3078032341003416,0.1604,0.1604,2,,,,
2026-06-01T17:58:14Z,3,warmup,3,20,3,0,0.0006,1.9635392665227254,0.2663,1.7670621912002564,0.3446,0.3446,3,,,,
2026-06-01T18:00:55Z,4,warmup,4,20,4,0,0.0008,1.6801439158757527,0.37261666666666665,1.6201609016418457,0.383,0.383,4,,,,
2026-06-01T18:03:17Z,5,warmup,5,20,5,0,0.001,1.5821660187403361,0.41118333333333335,1.5568242767333984,0.4341,0.4341,5,,,,
2026-06-01T18:05:40Z,6,cosine,6,20,6,0,0.001,1.5476381823221843,0.42315,1.5224316795349122,0.4443,0.4443,6,,,,
2026-06-01T18:08:19Z,7,cosine,7,20,7,0,0.000952960212253649,1.5035778788884482,0.4466,1.4692311239242555,0.4646,0.4646,7,,,,
2026-06-01T18:11:05Z,8,cosine,8,20,8,0,0.0008211576558828984,1.412404073905945,0.48968333333333336,1.293255404663086,0.5305,0.5305,8,,,,
2026-06-01T18:13:32Z,9,cosine,9,20,9,0,0.0006306974436292493,1.305235017967224,0.5284833333333333,1.2559949853897094,0.5454,0.5454,9,,,,
2026-06-01T18:15:52Z,10,cosine,10,20,10,0,0.00041930255637075066,1.2651207343419393,0.5444666666666667,1.2463883296966554,0.5579,0.5579,10,,,,
2026-06-01T18:18:13Z,11,cosine,11,20,11,0,0.00022884234411710158,1.2441001859664917,0.5536333333333333,1.210962454032898,0.5695,0.5695,11,,,,
2026-06-01T18:20:33Z,12,cosine,12,20,12,0,9.703978774635096e-05,1.2270052726109824,0.5606666666666666,1.1983408710479737,0.576,0.576,12,,,,
2026-06-01T18:22:53Z,13,cosine,13,20,13,0,5e-05,1.217612116241455,0.5665,1.188474415206909,0.5796,0.5796,13,,,,
2026-06-01T18:25:13Z,14,cosine,14,20,14,0,9.703978774635091e-05,1.218581153424581,0.5669166666666666,1.2021410577774048,0.571,0.5796,13,,,,
2026-06-01T18:27:33Z,15,cosine,15,20,15,0,0.00022884234411710147,1.223962350654602,0.5663833333333333,1.2121300174713134,0.5663,0.5796,13,,,,
2026-06-01T18:29:52Z,16,cosine,16,20,16,0,0.00041930255637075056,1.229450849914551,0.5658666666666666,1.193414408493042,0.5749,0.5796,13,,,,
2026-06-01T18:32:10Z,17,cosine,17,20,17,0,0.0006306974436292493,1.2200295628229778,0.56855,1.1641801460266112,0.5903,0.5903,17,,,,
2026-06-01T18:34:27Z,18,cosine,18,20,18,0,0.0008211576558828983,1.1916481775919596,0.5803833333333334,1.1189632173538209,0.6055,0.6055,18,,,,
2026-06-01T18:36:43Z,19,cosine,19,20,19,0,0.000952960212253649,1.1640355211257936,0.5909333333333333,1.1234231166839599,0.5938,0.6055,18,,,,
2026-06-01T18:39:00Z,20,cosine,20,20,20,0,0.001,1.150404875500997,0.59695,1.0932302322387695,0.6168,0.6168,20,,,,
