timestamp,global_epoch,phase,phase_epoch,phase_total_epochs,completed_train_epochs,completed_prune_epochs,lr,train_loss,train_acc,val_loss,val_acc,best_val_acc,best_epoch,sparsity,target_sparsity,neuron_sparsity,l2_lambda
2026-06-01T15:40:03Z,1,warmup,1,20,1,0,0.0002,1.14532455962499,0.6186333333333334,0.6634691747665405,0.7861,0.7861,1,,,,
2026-06-01T15:40:14Z,2,warmup,2,20,2,0,0.0004,0.5007246571063996,0.83775,0.2519824744462967,0.9199,0.9199,2,,,,
2026-06-01T15:40:25Z,3,warmup,3,20,3,0,0.0006,0.24155593916575113,0.9246333333333333,0.14325144488215447,0.9541,0.9541,3,,,,
2026-06-01T15:40:35Z,4,warmup,4,20,4,0,0.0008,0.16587173470656078,0.9484166666666667,0.11593341432958841,0.9643,0.9643,4,,,,
2026-06-01T15:40:46Z,5,warmup,5,20,5,0,0.001,0.13239107919136683,0.9584833333333334,0.0909821482270956,0.9701,0.9701,5,,,,
2026-06-01T15:40:58Z,6,cosine,6,20,6,0,0.001,0.10519643461902936,0.9665333333333334,0.08110269757807255,0.9741,0.9741,6,,,,
2026-06-01T15:41:09Z,7,cosine,7,20,7,0,0.000952960212253649,0.08775388463735581,0.9716,0.07818673037178814,0.9754,0.9754,7,,,,
2026-06-01T15:41:20Z,8,cosine,8,20,8,0,0.0008211576558828984,0.07196702241897583,0.9777,0.06730445979088545,0.9795,0.9795,8,,,,
2026-06-01T15:41:32Z,9,cosine,9,20,9,0,0.0006306974436292493,0.05674968931376934,0.98165,0.06940525475367904,0.9779,0.9795,8,,,,
2026-06-01T15:41:43Z,10,cosine,10,20,10,0,0.00041930255637075066,0.045249241562684374,0.98535,0.05396318927016109,0.9831,0.9831,10,,,,
2026-06-01T15:41:55Z,11,cosine,11,20,11,0,0.00022884234411710158,0.03454632800569137,0.9889333333333333,0.04675277227088809,0.9853,0.9853,11,,,,
2026-06-01T15:42:05Z,12,cosine,12,20,12,0,9.703978774635096e-05,0.029018734958767892,0.9910166666666667,0.04582490807566792,0.9861,0.9861,12,,,,
2026-06-01T15:42:16Z,13,cosine,13,20,13,0,5e-05,0.025319903891098994,0.99175,0.04580570755060762,0.9861,0.9861,12,,,,
2026-06-01T15:42:27Z,14,cosine,14,20,14,0,9.703978774635091e-05,0.027107621911664805,0.99145,0.04730075596394017,0.9856,0.9861,12,,,,
2026-06-01T15:42:39Z,15,cosine,15,20,15,0,0.00022884234411710147,0.030682824121415615,0.9897166666666667,0.050007757733482865,0.9848,0.9861,12,,,,
2026-06-01T15:42:50Z,16,cosine,16,20,16,0,0.00041930255637075056,0.03797201789865891,0.9877666666666667,0.050979823961202056,0.9838,0.9861,12,,,,
2026-06-01T15:43:02Z,17,cosine,17,20,17,0,0.0006306974436292493,0.04714880310694377,0.9843666666666666,0.06476477566929534,0.9796,0.9861,12,,,,
2026-06-01T15:43:13Z,18,cosine,18,20,18,0,0.0008211576558828983,0.05292413565715154,0.98245,0.06480081104058773,0.98,0.9861,12,,,,
2026-06-01T15:43:25Z,19,cosine,19,20,19,0,0.000952960212253649,0.05354523929854234,0.9829833333333333,0.0629967146171257,0.9802,0.9861,12,,,,
2026-06-01T15:43:36Z,20,cosine,20,20,20,0,0.001,0.051627076529463134,0.9831666666666666,0.07984707715506666,0.9761,0.9861,12,,,,
