timestamp,global_epoch,phase,phase_epoch,phase_total_epochs,completed_train_epochs,completed_prune_epochs,lr,train_loss,train_acc,val_loss,val_acc,best_val_acc,best_epoch,sparsity,target_sparsity,neuron_sparsity,l2_lambda
2026-06-02T01:45:14Z,1,warmup,1,20,1,0,0.0002,1.054616122595469,0.6393833333333333,0.6377952010154724,0.79,0.79,1,,,,
2026-06-02T01:45:37Z,2,warmup,2,20,2,0,0.0004,0.4812755223910014,0.8447,0.3422622283577919,0.8924,0.8924,2,,,,
2026-06-02T01:46:00Z,3,warmup,3,20,3,0,0.0006,0.2927982938448588,0.9082166666666667,0.22319120891094207,0.931,0.931,3,,,,
2026-06-02T01:46:23Z,4,warmup,4,20,4,0,0.0008,0.23176087670326234,0.9277833333333333,0.19909564909934999,0.9382,0.9382,4,,,,
2026-06-02T01:46:46Z,5,warmup,5,20,5,0,0.001,0.19955075341463088,0.9387166666666666,0.17333812168836593,0.9466,0.9466,5,,,,
2026-06-02T01:47:09Z,6,cosine,6,20,6,0,0.001,0.17658143923282624,0.9459333333333333,0.15703461556136608,0.9559,0.9559,6,,,,
2026-06-02T01:47:32Z,7,cosine,7,20,7,0,0.000952960212253649,0.15895276095072428,0.9513166666666667,0.15656651344299316,0.9506,0.9559,6,,,,
2026-06-02T01:47:55Z,8,cosine,8,20,8,0,0.0008211576558828984,0.13949200406869253,0.9577,0.14936089638471603,0.956,0.956,8,,,,
2026-06-02T01:48:18Z,9,cosine,9,20,9,0,0.0006306974436292493,0.12451429472366969,0.9616166666666667,0.12281603898704052,0.9648,0.9648,9,,,,
2026-06-02T01:48:41Z,10,cosine,10,20,10,0,0.00041930255637075066,0.1082758509794871,0.9661833333333333,0.12738010045439005,0.9615,0.9648,9,,,,
2026-06-02T01:49:04Z,11,cosine,11,20,11,0,0.00022884234411710158,0.09581147279342016,0.97045,0.10644628111571074,0.9679,0.9679,11,,,,
2026-06-02T01:49:27Z,12,cosine,12,20,12,0,9.703978774635096e-05,0.0869399139781793,0.9726333333333333,0.10884304571002722,0.9677,0.9679,11,,,,
2026-06-02T01:49:50Z,13,cosine,13,20,13,0,5e-05,0.08426701050798098,0.97335,0.10784188700765371,0.9674,0.9679,11,,,,
2026-06-02T01:50:13Z,14,cosine,14,20,14,0,9.703978774635091e-05,0.08544644125898679,0.97365,0.10736371639445424,0.9664,0.9679,11,,,,
2026-06-02T01:50:36Z,15,cosine,15,20,15,0,0.00022884234411710147,0.09086317372322082,0.97155,0.10864621043950319,0.9674,0.9679,11,,,,
2026-06-02T01:50:59Z,16,cosine,16,20,16,0,0.00041930255637075056,0.09803601642449697,0.96915,0.12249414906650781,0.965,0.9679,11,,,,
2026-06-02T01:51:22Z,17,cosine,17,20,17,0,0.0006306974436292493,0.1074389946659406,0.9666333333333333,0.115749208599329,0.9665,0.9679,11,,,,
2026-06-02T01:51:45Z,18,cosine,18,20,18,0,0.0008211576558828983,0.11140546567837398,0.96645,0.12056889932751656,0.9622,0.9679,11,,,,
2026-06-02T01:52:08Z,19,cosine,19,20,19,0,0.000952960212253649,0.11541268079678217,0.9655666666666667,0.14517228474617005,0.9546,0.9679,11,,,,
2026-06-02T01:52:31Z,20,cosine,20,20,20,0,0.001,0.11077737745841344,0.9659833333333333,0.12207056262493134,0.9626,0.9679,11,,,,
