timestamp,global_epoch,phase,phase_epoch,phase_total_epochs,completed_train_epochs,completed_prune_epochs,lr,train_loss,train_acc,val_loss,val_acc,best_val_acc,best_epoch,sparsity,target_sparsity,neuron_sparsity,l2_lambda
2026-06-02T01:21:28Z,1,warmup,1,20,1,0,0.0002,1.062945121796926,0.65465,0.5587749279022217,0.821,0.821,1,,,,
2026-06-02T01:21:44Z,2,warmup,2,20,2,0,0.0004,0.42862503511110944,0.86025,0.2744461435556412,0.9159,0.9159,2,,,,
2026-06-02T01:22:00Z,3,warmup,3,20,3,0,0.0006,0.25587312316894534,0.9182166666666667,0.1721691577255726,0.9435,0.9435,3,,,,
2026-06-02T01:22:15Z,4,warmup,4,20,4,0,0.0008,0.17722818571329116,0.9441166666666667,0.1398379618048668,0.9557,0.9557,4,,,,
2026-06-02T01:22:31Z,5,warmup,5,20,5,0,0.001,0.1421844922463099,0.9555,0.11378078839480876,0.9647,0.9647,5,,,,
2026-06-02T01:22:47Z,6,cosine,6,20,6,0,0.001,0.1146075308740139,0.9643333333333334,0.10048581865802407,0.9685,0.9685,6,,,,
2026-06-02T01:23:03Z,7,cosine,7,20,7,0,0.000952960212253649,0.09599445550640424,0.96925,0.08086194584667683,0.9744,0.9744,7,,,,
2026-06-02T01:23:19Z,8,cosine,8,20,8,0,0.0008211576558828984,0.08027602091431618,0.97455,0.08956608431786299,0.9703,0.9744,7,,,,
2026-06-02T01:23:35Z,9,cosine,9,20,9,0,0.0006306974436292493,0.07006620145440101,0.97745,0.07131709006614984,0.9764,0.9764,9,,,,
2026-06-02T01:23:50Z,10,cosine,10,20,10,0,0.00041930255637075066,0.057828046483794845,0.98135,0.059699150734581055,0.9803,0.9803,10,,,,
2026-06-02T01:24:06Z,11,cosine,11,20,11,0,0.00022884234411710158,0.04913221232096354,0.9842333333333333,0.05768670895760879,0.9805,0.9805,11,,,,
2026-06-02T01:24:22Z,12,cosine,12,20,12,0,9.703978774635096e-05,0.04297801075776418,0.9866,0.054005778285115956,0.9827,0.9827,12,,,,
2026-06-02T01:24:38Z,13,cosine,13,20,13,0,5e-05,0.04027756784260273,0.9872166666666666,0.05290244518909604,0.982,0.9827,12,,,,
2026-06-02T01:24:54Z,14,cosine,14,20,14,0,9.703978774635091e-05,0.041735372688869635,0.9869666666666667,0.05352721386104822,0.9816,0.9827,12,,,,
2026-06-02T01:25:10Z,15,cosine,15,20,15,0,0.00022884234411710147,0.043997333042820296,0.9854,0.054507494401372966,0.9816,0.9827,12,,,,
2026-06-02T01:25:26Z,16,cosine,16,20,16,0,0.00041930255637075056,0.04986570714811484,0.9834,0.063035238936916,0.9791,0.9827,12,,,,
2026-06-02T01:25:41Z,17,cosine,17,20,17,0,0.0006306974436292493,0.05636570070783297,0.9814666666666667,0.06292970523200929,0.9802,0.9827,12,,,,
2026-06-02T01:25:57Z,18,cosine,18,20,18,0,0.0008211576558828983,0.06190604456663132,0.9795333333333334,0.0689106473358348,0.9776,0.9827,12,,,,
2026-06-02T01:26:13Z,19,cosine,19,20,19,0,0.000952960212253649,0.06103252465824286,0.9795333333333334,0.07302233301736415,0.9768,0.9827,12,,,,
2026-06-02T01:26:29Z,20,cosine,20,20,20,0,0.001,0.06041197777787844,0.9805166666666667,0.06716248899921774,0.9784,0.9827,12,,,,
