timestamp,global_epoch,phase,phase_epoch,phase_total_epochs,completed_train_epochs,completed_prune_epochs,lr,train_loss,train_acc,val_loss,val_acc,best_val_acc,best_epoch,sparsity,target_sparsity,neuron_sparsity,l2_lambda
2026-06-02T14:13:35Z,1,warmup,1,20,1,0,0.0002,1.2498653809865317,0.5963,0.8139701145172119,0.7276,0.7276,1,,,,
2026-06-02T14:13:39Z,2,warmup,2,20,2,0,0.0004,0.7456677510579427,0.75255,0.6010323013305664,0.8079,0.8079,2,,,,
2026-06-02T14:13:43Z,3,warmup,3,20,3,0,0.0006,0.6110753356933594,0.7987,0.48796741242408753,0.842,0.842,3,,,,
2026-06-02T14:13:46Z,4,warmup,4,20,4,0,0.0008,0.5335342710653941,0.8255166666666667,0.42976454796791075,0.8626,0.8626,4,,,,
2026-06-02T14:13:50Z,5,warmup,5,20,5,0,0.001,0.4770292697588603,0.8437,0.41087671840190887,0.8702,0.8702,5,,,,
2026-06-02T14:13:53Z,6,cosine,6,20,6,0,0.001,0.4232329365730286,0.8612,0.33442854616642,0.8952,0.8952,6,,,,
2026-06-02T14:13:57Z,7,cosine,7,20,7,0,0.000952960212253649,0.3830393501281738,0.8747666666666667,0.3228755944609642,0.8935,0.8952,6,,,,
2026-06-02T14:14:01Z,8,cosine,8,20,8,0,0.0008211576558828984,0.34392881019910176,0.8881,0.29378628857135775,0.9058,0.9058,8,,,,
2026-06-02T14:14:04Z,9,cosine,9,20,9,0,0.0006306974436292493,0.3113149428129196,0.8996,0.2692706428050995,0.9138,0.9138,9,,,,
2026-06-02T14:14:08Z,10,cosine,10,20,10,0,0.00041930255637075066,0.27895393980344135,0.90855,0.2371568179666996,0.9264,0.9264,10,,,,
2026-06-02T14:14:11Z,11,cosine,11,20,11,0,0.00022884234411710158,0.2618181588013967,0.9148833333333334,0.23268336853384972,0.9284,0.9284,11,,,,
2026-06-02T14:14:15Z,12,cosine,12,20,12,0,9.703978774635096e-05,0.24924370034535726,0.9187166666666666,0.22314650135040284,0.9286,0.9286,12,,,,
2026-06-02T14:14:19Z,13,cosine,13,20,13,0,5e-05,0.24374196670850118,0.9207,0.2182100174576044,0.9304,0.9304,13,,,,
2026-06-02T14:14:22Z,14,cosine,14,20,14,0,9.703978774635091e-05,0.2423969534079234,0.92115,0.21799895012378692,0.9299,0.9304,13,,,,
2026-06-02T14:14:26Z,15,cosine,15,20,15,0,0.00022884234411710147,0.24760469177563985,0.9199666666666667,0.22093764042258263,0.9288,0.9304,13,,,,
2026-06-02T14:14:29Z,16,cosine,16,20,16,0,0.00041930255637075056,0.24877649912834168,0.9181666666666667,0.2204802090704441,0.9314,0.9314,16,,,,
2026-06-02T14:14:33Z,17,cosine,17,20,17,0,0.0006306974436292493,0.24857338740825652,0.92005,0.21327480461895465,0.9308,0.9314,16,,,,
2026-06-02T14:14:37Z,18,cosine,18,20,18,0,0.0008211576558828983,0.24464949446519216,0.92,0.21189848038852216,0.9329,0.9329,18,,,,
2026-06-02T14:14:40Z,19,cosine,19,20,19,0,0.000952960212253649,0.23548862555821737,0.9219666666666667,0.2057845155388117,0.9328,0.9329,18,,,,
2026-06-02T14:14:44Z,20,cosine,20,20,20,0,0.001,0.21652117108503977,0.92935,0.17670622375160455,0.9433,0.9433,20,,,,
