name,encoder,decoder,accuracy,best_val_accuracy,steps,reservoir_dim,spike_rate,spike_participation,active_unit_fraction,spike_selective_fraction,mean_spike_selectivity,temporal_center_of_mass,temporal_burst_ratio,spike_fisher_ratio,membrane_fisher_ratio,spike_centroid_accuracy,membrane_centroid_accuracy,weight_mean,weight_std,weight_skew,weight_kurtosis,spectral_norm,frobenius_norm,stable_rank,effective_rank,spectral_entropy,top1_energy,top5_energy,spectral_radius,non_normality,reciprocity,symmetric_energy,row_norm_cv,column_norm_cv,top_edge_reciprocity,stable_rank_shuffle_mean,stable_rank_shuffle_std,stable_rank_shuffle_z,effective_rank_shuffle_mean,effective_rank_shuffle_std,effective_rank_shuffle_z,top1_energy_shuffle_mean,top1_energy_shuffle_std,top1_energy_shuffle_z,spectral_radius_shuffle_mean,spectral_radius_shuffle_std,spectral_radius_shuffle_z,non_normality_shuffle_mean,non_normality_shuffle_std,non_normality_shuffle_z,reciprocity_shuffle_mean,reciprocity_shuffle_std,reciprocity_shuffle_z,row_norm_cv_shuffle_mean,row_norm_cv_shuffle_std,row_norm_cv_shuffle_z,top_edge_reciprocity_shuffle_mean,top_edge_reciprocity_shuffle_std,top_edge_reciprocity_shuffle_z
linear_patch__linear,linear_patch,linear,0.968,0.9739,16,64,0.018055989583333334,0.14954033996480315,0.3645833333333333,0.2857142857142857,0.4698415720421112,0.4029373046973841,4.297435914865537,0.631812927501002,1.3066807410344317,0.86,0.932,-0.0013993738684803247,0.051131948828697205,-0.23468583822250366,3.431206226348877,2.02272629737854,3.2736699788792447,2.6193618774414062,10.912048482921243,0.5746416757269327,0.38177236914634705,0.7385072112083435,0.7062975168228149,0.5550145506858826,-0.04111022298617183,0.4894919991493225,0.18654698133468628,0.49138256907463074,0.07444168734491315,16.116020946502687,0.8322326098877929,-16.217411945538867,37.86684346633897,0.5262707771463989,-51.21849084909268,0.06221146620810032,0.0031967236351716022,99.96513286988993,0.4340848571062088,0.023259241613323593,11.703419408166539,0.18244416534900665,0.0034610561368581426,107.64644391901881,-0.00726691526536928,0.022617294767744923,-1.4963464051884452,0.14101575344800948,0.010748344273461982,4.236115510283282,0.0963771712158809,0.02098570566175818,-1.0452583403445104
linear_patch__membrane_mlp,linear_patch,membrane_mlp,0.98,0.9806,16,64,0.021199869791666666,0.16284788700002972,0.3645833333333333,0.21428571428571427,0.43653042349706245,0.432364890425986,3.9503722089986124,0.5391772180282532,0.9598941589822266,0.812,0.916,-0.0007761147571727633,0.04996516928076744,0.03083062171936035,0.5186929702758789,1.231563687324524,3.198156457581907,6.743504524230957,23.401326111381437,0.7580863969942446,0.14829084277153015,0.47714030742645264,0.6084785461425781,0.29055145382881165,0.007608522525596296,0.5207945108413696,0.0978342816233635,0.2770591378211975,0.09429280397022333,16.816015224456788,0.8227378343639631,-12.24267352189124,38.54266194564484,0.4564209865087052,-33.17405702591332,0.05960518643260002,0.002885894826736684,30.730730557916495,0.4218046152591705,0.021660580279700362,8.61814081030658,0.17855907380580902,0.003601820076545201,31.093274412092132,0.0013323275977445682,0.023691606401513063,0.26491217275376056,0.09674209371209144,0.009457014088076175,0.11548972023306295,0.09985111662531018,0.01864034325967789,-0.29818724782340217
linear_patch__spike_mlp,linear_patch,spike_mlp,0.9,0.9005,16,64,0.23447916666666666,0.5451072942670941,1.0,0.171875,0.3243382172062908,0.5786524786699234,2.235768681764909,0.9648074153214216,1.345401256461106,0.72,0.728,-0.005308404099196196,0.14160728454589844,-0.02166293002665043,3.3267788887023926,4.847970962524414,9.06923157184284,3.4996204376220703,9.939089436250958,0.5521856143660243,0.2857452630996704,0.7761335968971252,2.6174769401550293,0.46341609954833984,0.13870784613564774,0.5966371893882751,0.2149835079908371,0.4331870675086975,0.034739454094292806,16.37569389343262,0.7324338629811316,-17.57984455197459,37.9947856330269,0.48738143310308996,-57.56414645947675,0.06119068592786789,0.002851075261158675,78.7613642582496,1.2038781809806824,0.049720628697215906,28.430830345745427,0.181441468000412,0.0038914701975833912,72.45966620097322,-0.005399067705767866,0.020581549740955725,7.001752329400821,0.14055771455168725,0.012956878219546246,5.744114606778813,0.09409429280397025,0.020982591753480107,-2.828765836319197
linear_patch__both_mlp,linear_patch,both_mlp,0.98,0.9788,16,64,0.024305338541666666,0.17705881086546038,0.3958333333333333,0.23684210526315788,0.463368199497387,0.4496688297892706,3.6061738538932095,0.5395360257357431,0.9467241727544261,0.86,0.864,0.00018872586952056736,0.0512414388358593,-0.015445718541741371,0.9943516254425049,1.438319444656372,3.279474559193807,5.198736667633057,21.77104660782503,0.7407231432182361,0.19235441088676453,0.5089619755744934,0.5064299702644348,0.331420361995697,0.024649377102857396,0.5239289402961731,0.10565131157636642,0.29993921518325806,0.09925558312655088,16.65963747024536,0.7926070910272941,-14.459750527538036,38.41263183704165,0.3672930396573079,-45.30874106610778,0.06016311749815941,0.002962444663356275,44.622367136080165,0.4339611482620239,0.02215004827625951,3.2717229822060117,0.1790888100862503,0.002662005852895013,57.224348978715234,0.0013050419578178299,0.022142456031958562,1.0542793948126763,0.10929625973105431,0.009742383563532115,-0.3741330990427974,0.10104218362282878,0.021310605753709112,-0.08383621361710701
linear_patch__all_state_mlp,linear_patch,all_state_mlp,0.972,0.9831,16,64,0.02483268229166667,0.17593002149109563,0.4010416666666667,0.23376623376623376,0.47514367892430454,0.4796931495960971,3.343059025605772,0.6756625061736091,0.893070880898086,0.904,0.832,-0.01836228184401989,0.07369102537631989,-0.1377374678850174,0.5799989700317383,1.934507966041565,4.860436620996977,6.312618732452393,22.420790807222573,0.7477942099084605,0.1584128588438034,0.5062754154205322,0.922105073928833,0.2845190763473511,0.030561094451227008,0.5569995641708374,0.15862058103084564,0.2765302360057831,0.1141439205955335,11.023347339630128,0.48891785824387435,-9.635010314611996,36.93482555455331,0.431700981356202,-33.62057390218213,0.09088885366916656,0.003969047562767255,17.012647015889755,1.1734362053871155,0.04185571605250372,-6.004702706388136,0.17822298943996429,0.003883633767389873,27.370265394212662,0.006478884317849386,0.023881722933562884,1.0083950056858324,0.10255953416228294,0.008355396489793396,6.709561531525707,0.10084367245657569,0.017947967269694137,0.7410448180065387
linear_patch__lif_count,linear_patch,lif_count,0.966,0.9704,16,64,0.017086588541666666,0.13479330413691265,0.3541666666666667,0.3235294117647059,0.46300301751688666,0.4870972763887314,4.105435075763691,0.6223853493868267,1.3892154852403078,0.876,0.92,0.004219204653054476,0.07995305955410004,0.04096512869000435,0.7693221569061279,2.088040828704834,5.124115658266983,6.022265434265137,16.341172126622745,0.6717399273888086,0.16605046391487122,0.6037731170654297,0.9565369486808777,0.3733712136745453,0.04435287731741864,0.5359578132629395,0.0997728705406189,0.31773605942726135,0.08933002481389578,16.74992967605591,0.6581167984591038,-16.30054766404417,38.45882660498079,0.404180833117421,-54.72217548706105,0.05979223020374775,0.0023535233642102368,45.14857822402802,0.681860270500183,0.03587473724423545,7.656548849701505,0.1786428463459015,0.0030394770123175407,64.06640568081392,-0.0007447892308415545,0.024541418349790144,1.8376145137775148,0.10233563095331193,0.00942005848853464,-0.27205355633536904,0.1006451612903226,0.01875861391375007,-0.6031968315171101
mlp_patch__linear,mlp_patch,linear,0.978,0.9839,16,64,0.012503255208333333,0.12060891789358999,0.34375,0.42424242424242425,0.5108066762431897,0.4116309801124562,5.264553026293576,0.6892232516465144,2.104920815559426,0.884,0.948,0.0006525999051518738,0.060093097388744354,-0.004796264227479696,1.1650276184082031,1.7967679500579834,3.8461851764283206,4.582224369049072,16.606729683397443,0.6756160150464043,0.2182346135377884,0.6384520530700684,0.6261287331581116,0.4128095507621765,0.030900054888111053,0.5251497030258179,0.11675522476434708,0.3645938038825989,0.09429280397022333,16.70183629989624,0.8347851581340763,-14.518240786572077,38.460414293932985,0.43615389973141777,-50.10544356932948,0.060023074597120286,0.0030583001251160524,51.73185510518347,0.5042264324426651,0.02473369872562688,4.9285916379802135,0.17892137676477432,0.003647918204034281,64.1155203915324,-0.002148162366785937,0.023492693084327686,1.4067445199351765,0.10998285949230194,0.008828214367446786,0.7671274155980627,0.09925558312655088,0.02155077512027035,-0.23028309323591936
mlp_patch__membrane_mlp,mlp_patch,membrane_mlp,0.984,0.9861,16,64,0.014822916666666667,0.13729870269658023,0.34375,0.36363636363636365,0.47758855110772636,0.45190149589764156,4.556414066479695,0.6340367197062423,1.629340322220825,0.888,0.952,0.00024376652436330914,0.0667342096567154,0.017885694280266762,0.8050045967102051,2.008223056793213,4.271018171574997,4.523128509521484,20.39948397950041,0.7250767922457909,0.22108590602874756,0.554360568523407,0.6837844848632812,0.3617287874221802,0.04159460829908851,0.5332775115966797,0.10596338659524918,0.31112140417099,0.09429280397022333,16.552110767364503,0.8536917080484735,-14.090545971614382,38.40636163791849,0.4997349800591349,-36.03285416659702,0.0605777370929718,0.0032209572114215356,49.83244371164346,0.5646055376529694,0.028093967419250288,4.242154389651963,0.17952565103769302,0.0031877825135209563,57.156702382196364,-0.000228193420602714,0.019715807931522986,2.1212826714964117,0.10352857902646065,0.011171940920023365,0.21793953138658695,0.09409429280397022,0.018783249098374637,0.010568521197447391
mlp_patch__spike_mlp,mlp_patch,spike_mlp,0.818,0.8496,16,64,0.27513020833333335,0.5850865437537598,1.0,0.20833333333333334,0.33255500956365863,0.5456954673503076,1.8880052802270635,1.1449418513672178,1.8206427521683217,0.688,0.684,-0.007098406553268433,0.15062662959098816,-0.04187535122036934,3.6073122024536133,5.6247477531433105,9.650803891234673,2.94388484954834,9.257917450184198,0.5351146164413819,0.33968719840049744,0.793055534362793,2.682681083679199,0.5091057419776917,0.13076898191676137,0.5856804251670837,0.34876155853271484,0.384324312210083,0.04962779156327544,16.144529876708983,0.7709785429732874,-17.12193568481453,37.92520105849812,0.43769335739887383,-65.49627295848853,0.06207975260913372,0.002980803708271495,93.1317433016555,1.2732269549369812,0.06188625346622671,22.774914456752526,0.18279548943042756,0.003665862500613119,89.01322744447954,0.0008121825798561417,0.026139318866494354,4.971698000267528,0.14557906612753868,0.012955647480595132,15.682928445645137,0.10580645161290322,0.019035241796840456,-2.951297422392215
mlp_patch__both_mlp,mlp_patch,both_mlp,0.982,0.986,16,64,0.016848958333333334,0.14789384277233178,0.3541666666666667,0.3088235294117647,0.4755901663435003,0.4444123133492763,4.755238411897932,0.6336902143914769,1.4973162552138146,0.9,0.956,-0.00234255101531744,0.06534954905509949,-0.08869114518165588,0.985926628112793,1.596840500831604,4.185057881637511,6.868783473968506,24.520806901856588,0.769322424867964,0.14558619260787964,0.4773721694946289,0.638321042060852,0.3045053780078888,0.005819369518843539,0.5106650590896606,0.12024615705013275,0.2614634335041046,0.11910669975186104,16.567120304107664,0.6293402922470078,-15.410322443382805,38.35262315629457,0.35924012392205096,-38.50298263854082,0.06044775158166885,0.00234602156946617,36.290561917375626,0.5524069190025329,0.028591837568132362,3.0048478994605277,0.17973915845155716,0.0028092670477335977,44.41237427285097,0.0026750898590516647,0.019735336063242903,0.15932232669947285,0.1052958159148693,0.008704527155492102,1.7175362737343591,0.10253101736972706,0.022788897320399973,0.7273578071412831
