decoder,reference,target,target_encoder,match_correlation,match_random_mean,match_correlation_z,weight_correlation_before,weight_correlation_after,weight_correlation_random_mean,weight_correlation_after_z,edge_jaccard_before,edge_jaccard_after,edge_jaccard_random_mean,subspace_overlap_before,subspace_overlap_after
linear,cnn3__linear,linear_patch__linear,linear_patch,0.5156325101852417,0.22358412504196168,14.526339835816701,-0.017044424063651194,0.027134210607901214,0.0020518843004816213,1.6857980258428418,0.0703851261620186,0.049479166666666664,0.055161529262215424,0.07810880243778229,0.090049147605896
linear,cnn3__linear,mlp_patch__linear,mlp_patch,0.5521867275238037,0.1918943068385124,13.432433142980694,-0.021281118523621228,0.049950978002503275,0.004947543819036535,2.7808343409452916,0.042690815006468305,0.05774278215223097,0.05567987408255684,0.07020541280508041,0.07334733009338379
linear,cnn3__linear,lif_2x2__linear,lif_2x2,0.47189319133758545,0.3050228291749954,14.599732891198839,-0.00867904573247494,0.007299021968588549,0.002823311764288524,0.26512278546891643,0.03333333333333333,0.0267515923566879,0.04987093935749403,0.07723789662122726,0.08783580362796783
linear,cnn3__linear,cnn2__linear,cnn2,0.5924898386001587,0.21679346650838852,13.184796675213084,-0.013790830224412732,0.04312186018431606,0.00537622209884159,2.218435434052182,0.03598971722365039,0.0847913862718708,0.05419283417358575,0.07934986054897308,0.13831162452697754
linear,cnn3__linear,res_cnn__linear,res_cnn,0.6720840930938721,0.25609961181879043,18.11495967705694,-0.020091726408329905,0.09313915685454979,-0.002627346330625449,5.32796955244628,0.07466666666666667,0.05774278215223097,0.05765576718602676,0.09781788289546967,0.14534476399421692
linear,cnn3__linear,rows__linear,rows,0.48950624465942383,0.19013087540864945,12.647726266191837,-0.011241483337546977,-0.013421388767981168,-0.0022435710704180457,-0.791851451572182,0.03333333333333333,0.03465982028241335,0.05001924145759586,0.08912841975688934,0.09156990051269531
membrane_mlp,cnn3__membrane_mlp,linear_patch__membrane_mlp,linear_patch,0.5465009212493896,0.26014315843582153,12.715221482746806,-0.022875337864322862,0.008151202414475974,0.0025730601888179533,0.4086518660809959,0.07466666666666667,0.05774278215223097,0.05212993277479008,0.11573214828968048,0.08461523801088333
membrane_mlp,cnn3__membrane_mlp,mlp_patch__membrane_mlp,mlp_patch,0.5569558143615723,0.2222442576289177,14.860908580799645,0.003699449880524095,0.028833770618264754,-0.0007235711875957883,1.6407300157842661,0.04811443433029909,0.046753246753246755,0.0516651750586538,0.0879233106970787,0.11013920605182648
membrane_mlp,cnn3__membrane_mlp,lif_2x2__membrane_mlp,lif_2x2,0.48759767413139343,0.32456639349460603,13.410511321773502,-0.0011249380181825662,-0.0006804934874644179,-0.0025238643177528854,0.10690598521252116,0.04539559014267185,0.04,0.05390982938668964,0.061342764645814896,0.06184523180127144
membrane_mlp,cnn3__membrane_mlp,cnn2__membrane_mlp,cnn2,0.6370790004730225,0.25836339324712754,17.976131505065784,-0.006629697488858757,0.0033743856405665604,-0.002427132377391761,0.27011823502103105,0.06472919418758256,0.06896551724137931,0.05368853761449637,0.11049352586269379,0.12031303346157074
membrane_mlp,cnn3__membrane_mlp,res_cnn__membrane_mlp,res_cnn,0.691886305809021,0.28570368736982343,16.78543678152381,-0.01747641989922009,0.05970542940450476,0.0002857907662391229,3.4177159420888485,0.04,0.061923583662714096,0.054325298832882514,0.08222124725580215,0.1603609323501587
membrane_mlp,cnn3__membrane_mlp,rows__membrane_mlp,rows,0.4961336851119995,0.20508781045675278,14.497007830332613,0.02034603279499171,-0.003011884443491359,-0.0006122575400707941,-0.1262310905743715,0.03598971722365039,0.05774278215223097,0.049184511499219166,0.10025570541620255,0.10503944009542465
