model_a,model_b,group,accuracy_difference,spike_rate_difference,spike_cka,membrane_cka,membrane_last_cka,temporal_cka,prediction_agreement,digit_geometry_correlation,recurrent_correlation,spectrum_cosine,centered_spectrum_cosine,shuffled_spectrum_cosine,sorted_activity_correlation
linear_patch__linear,linear_patch__membrane_mlp,same_encoder,0.01200000000000001,0.0031438802083333314,0.7181922457408045,0.8621690349294893,0.8407893160781493,0.6714448548616072,0.976,0.9295788891587746,0.03993165035171031,0.9479681849479675,0.9482651352882385,0.9999220371246338,0.991825277330739
linear_patch__linear,linear_patch__spike_mlp,same_encoder,0.06799999999999995,0.2164231770833333,0.4418393228917942,0.6394555583305251,0.608389892953489,0.2554367470748489,0.906,0.6446085970804503,0.026819233507751887,0.9841866493225098,0.9844465851783752,0.9999891519546509,0.8623951885380947
linear_patch__linear,linear_patch__both_mlp,same_encoder,0.01200000000000001,0.006249348958333331,0.7619461372649173,0.83417161115008,0.7934668507814958,0.725517824851304,0.978,0.8585902662184781,-0.01525226679446759,0.9637435674667358,0.9641278386116028,0.999946653842926,0.9896149079082927
linear_patch__linear,linear_patch__all_state_mlp,same_encoder,0.0040000000000000036,0.006776692708333334,0.6893767636203781,0.6631697831116955,0.6657313472728601,0.5044591031758461,0.976,0.5623854558669579,0.041425778385636526,0.9549329280853271,0.9443731904029846,0.9985044598579407,0.9892889108308468
linear_patch__linear,linear_patch__lif_count,same_encoder,0.0020000000000000018,0.0009694010416666683,0.7382434723528816,0.7961975236709372,0.6470585275973179,0.483047445715729,0.962,0.773923282226945,-0.007601763585736671,0.9659554958343506,0.9664281010627747,0.9999390840530396,0.984496750666934
linear_patch__linear,mlp_patch__linear,same_decoder,0.010000000000000009,0.005552734375000002,0.5994021722188276,0.8426094199051349,0.8195792677720637,0.2955215310500505,0.974,0.8376179955089064,0.0003086732325628726,0.982261061668396,0.982441246509552,0.9999397993087769,0.9984506672327075
linear_patch__linear,mlp_patch__membrane_mlp,different_encoder_and_decoder,0.016000000000000014,0.003233072916666668,0.6035706275517313,0.8396654622283095,0.820594093372738,0.28779154596143613,0.974,0.8680521992819205,0.0046348884302670895,0.9729933142662048,0.9732411503791809,0.9999499917030334,0.9956118776416747
linear_patch__linear,mlp_patch__spike_mlp,different_encoder_and_decoder,0.15000000000000002,0.25707421875,0.5306132831858378,0.48589771336495946,0.47317143590766053,0.3404787073192988,0.83,0.4085291680636699,0.022725635915215318,0.9909900426864624,0.9909888505935669,0.9999881386756897,0.8494392069044139
linear_patch__linear,mlp_patch__both_mlp,different_encoder_and_decoder,0.014000000000000012,0.0012070312500000006,0.5960692512987782,0.8460092297927666,0.8218334417241896,0.2541786141353421,0.982,0.8755544493602663,0.019311419354421586,0.945492684841156,0.9441852569580078,0.9999579787254333,0.997661918513512
linear_patch__linear,mlp_patch__all_state_mlp,different_encoder_and_decoder,0.010000000000000009,0.0033906250000000013,0.6717570868267552,0.798855679214686,0.7723483100723587,0.3203589031629028,0.98,0.7894412626454766,-0.011406464090443996,0.9365373849868774,0.9339286684989929,0.9999532699584961,0.9972676507772676
linear_patch__linear,mlp_patch__lif_count,different_encoder_and_decoder,0.010000000000000009,0.006094401041666668,0.4999654387188475,0.7988498889308442,0.7444578072751066,0.09034205876561166,0.972,0.7578717772390706,0.017311652802556043,0.9758209586143494,0.9761682748794556,0.9999277591705322,0.9964191550118479
linear_patch__linear,lif_2x2__linear,same_decoder,0.06999999999999995,0.0018324562950389617,0.30541768500862787,0.5525655084339709,0.5912770310186967,0.16518291804073906,0.908,0.5791673931935594,-0.009651043082584174,0.9022906422615051,0.901488184928894,0.9980787038803101,0.9909801058999408
linear_patch__linear,lif_2x2__membrane_mlp,different_encoder_and_decoder,0.05399999999999994,0.0014303517004736928,0.22842357128071586,0.5577844423426631,0.6162230994973039,0.1344677068130069,0.922,0.5625600590313289,-0.004548623386278604,0.8024486899375916,0.8082329630851746,0.9832805395126343,0.9920576386332564
linear_patch__linear,lif_2x2__spike_mlp,different_encoder_and_decoder,0.396,0.22965239693615874,0.376175938897873,0.15899806294991334,0.17517129550595145,0.20408785221911901,0.582,0.17037959941756164,0.0036935496392828827,0.9681797027587891,0.9670948386192322,0.9998178482055664,0.8355811771464233
linear_patch__linear,lif_2x2__both_mlp,different_encoder_and_decoder,0.05799999999999994,0.005126355126417671,0.24078685517743953,0.5411150600682644,0.6113245965568561,0.12997680094206582,0.914,0.5695948026728902,-0.0029396700964085328,0.8081216812133789,0.8147431015968323,0.9937481880187988,0.9891654990006925
linear_patch__linear,lif_2x2__all_state_mlp,different_encoder_and_decoder,0.028000000000000025,0.01366414220557878,0.47494697681162534,0.36191110657414993,0.43685878001166595,0.1922097912265086,0.938,0.29556448120572604,-0.0035561678238832037,0.9946342706680298,0.982738196849823,0.9749607443809509,0.9939164067595834
linear_patch__linear,lif_2x2__lif_count,different_encoder_and_decoder,0.10399999999999998,0.014742320351050392,0.18598643655569008,0.11351938843319306,0.10040564653710007,0.20773693577636296,0.868,0.17475737211237996,0.012829971293148367,0.9842665195465088,0.9844001531600952,0.9999881386756897,0.7164057910539174
linear_patch__linear,cnn2__linear,same_decoder,0.014000000000000012,0.010115300860585801,0.5863376782047521,0.7155287710563638,0.7222028178386148,0.35406504020912494,0.968,0.6866171419444477,0.002926411240164336,0.9881677627563477,0.9883525967597961,0.9999602437019348,0.9862262087221613
linear_patch__linear,cnn2__membrane_mlp,different_encoder_and_decoder,0.02200000000000002,0.00566695899826785,0.4395660242982604,0.713213095113467,0.7214793092463831,0.19287871906138496,0.974,0.6963593679058521,-0.03205921493634366,0.9711025357246399,0.9714924097061157,0.9998962879180908,0.99650322874422
linear_patch__linear,cnn2__spike_mlp,different_encoder_and_decoder,0.01200000000000001,0.1359535778147401,0.6374247494813073,0.6157399162051355,0.5834720461133576,0.36816147630812374,0.944,0.6580247955312268,0.0027287068449654527,0.9895102977752686,0.9877049326896667,0.9993341565132141,0.9222598947263715
linear_patch__linear,cnn2__both_mlp,different_encoder_and_decoder,0.020000000000000018,0.006071508313005326,0.493304779708791,0.708012905794725,0.700662987641839,0.23481214832187228,0.972,0.6719833884086022,-0.004151509308211418,0.9792969822883606,0.9785303473472595,0.9999373555183411,0.9936720315938357
