model,encoder,decoder,epoch,best_val_accuracy,balanced_subset_accuracy,token_steps,overall_spike_rate,tau_1.1_spike_rate,tau_8_spike_rate,tau_64_spike_rate,active_neuron_fraction_above_1pct,recurrent_weight_rms
linear_patch__linear,linear_patch,linear,13,0.9739,0.968,16,0.01805598958333333,0.054142578125,2.5390625000000002e-05,0.0,0.3229166666666667,0.051151093095541
linear_patch__membrane_mlp,linear_patch,membrane_mlp,13,0.9806,0.98,16,0.02119986979166667,0.06356640625,3.3203125e-05,0.0,0.3333333333333333,0.049971193075180054
linear_patch__spike_mlp,linear_patch,spike_mlp,20,0.9005,0.9,16,0.23447916666666666,0.477482421875,0.190431640625,0.0355234375,0.9114583333333334,0.14170674979686737
linear_patch__both_mlp,linear_patch,both_mlp,12,0.9788,0.98,16,0.024305338541666666,0.07280273437500001,0.00011328125000000002,0.0,0.3333333333333333,0.051241789013147354
linear_patch__all_state_mlp,linear_patch,all_state_mlp,13,0.9831,0.972,16,0.02483268229166667,0.074005859375,0.0004921875,0.0,0.3385416666666667,0.07594431936740875
linear_patch__lif_count,linear_patch,lif_count,13,0.9704,0.966,16,0.017086588541666666,0.05109960937500001,0.00016015625,0.0,0.3333333333333333,0.0800643041729927
mlp_patch__linear,mlp_patch,linear,11,0.9839,0.978,16,0.012503255208333333,0.037492187499999996,1.7578125000000002e-05,0.0,0.3125,0.06009664386510849
mlp_patch__membrane_mlp,mlp_patch,membrane_mlp,12,0.9861,0.984,16,0.014822916666666665,0.0444609375,7.8125e-06,0.0,0.3229166666666667,0.06673465669155121
mlp_patch__spike_mlp,mlp_patch,spike_mlp,20,0.8496,0.818,16,0.27513020833333335,0.5057890624999999,0.23696484375,0.08263671875,0.9739583333333334,0.15079380571842194
mlp_patch__both_mlp,mlp_patch,both_mlp,14,0.986,0.982,16,0.016848958333333334,0.05052734375,1.953125e-05,0.0,0.328125,0.06539153307676315
mlp_patch__all_state_mlp,mlp_patch,all_state_mlp,13,0.987,0.978,16,0.014665364583333335,0.043949218750000005,4.6875e-05,0.0,0.328125,0.08546309918165207
mlp_patch__lif_count,mlp_patch,lif_count,13,0.9804,0.978,16,0.011961588541666665,0.035884765624999995,0.0,0.0,0.3072916666666667,0.08123727887868881
lif_2x2__linear,lif_2x2,linear,20,0.9125,0.898,196,0.016223533163265306,0.0462640306122449,0.002406568877551021,0.0,0.328125,0.01694902405142784
lif_2x2__membrane_mlp,lif_2x2,membrane_mlp,20,0.9336,0.914,196,0.01662563775510204,0.04742490433673469,0.0024520089285714284,0.0,0.3385416666666667,0.04659903421998024
lif_2x2__spike_mlp,lif_2x2,spike_mlp,20,0.6168,0.572,196,0.24770838647959184,0.4405138711734694,0.2206170280612245,0.08199426020408164,0.9166666666666666,0.231251060962677
lif_2x2__both_mlp,lif_2x2,both_mlp,14,0.9256,0.91,196,0.012929634353741497,0.03742203443877551,0.0013668686224489795,0.0,0.3072916666666667,0.033455390483140945
lif_2x2__all_state_mlp,lif_2x2,all_state_mlp,20,0.951,0.94,196,0.0043918473639455785,0.013162468112244897,1.3073979591836735e-05,0.0,0.17708333333333334,0.16102555394172668
lif_2x2__lif_count,lif_2x2,lif_count,13,0.902,0.864,196,0.003313669217687075,0.009938934948979593,2.072704081632653e-06,0.0,0.07291666666666667,0.0651494562625885
cnn2__linear,cnn2,linear,11,0.9905,0.982,49,0.007940688775510204,0.02379272959183673,2.9336734693877552e-05,0.0,0.2552083333333333,0.05680008605122566
cnn2__membrane_mlp,cnn2,membrane_mlp,12,0.9912,0.99,49,0.012389030612244896,0.03713073979591837,3.635204081632653e-05,0.0,0.3072916666666667,0.06351000815629959
cnn2__spike_mlp,cnn2,spike_mlp,16,0.969,0.956,49,0.15400956632653062,0.32566454081632656,0.11781505102040817,0.018549107142857145,0.90625,0.13865460455417633
cnn2__both_mlp,cnn2,both_mlp,14,0.9916,0.988,49,0.011984481292517007,0.035855229591836735,9.821428571428572e-05,0.0,0.296875,0.07136494666337967
cnn2__all_state_mlp,cnn2,all_state_mlp,14,0.9915,0.988,49,0.006587159863945578,0.019731505102040817,2.997448979591837e-05,0.0,0.234375,0.10270428657531738
cnn2__lif_count,cnn2,lif_count,12,0.9905,0.986,49,0.012813988095238095,0.038364158163265306,7.780612244897959e-05,0.0,0.3125,0.08637747168540955
cnn3__linear,cnn3,linear,12,0.9936,0.992,49,0.015321641156462585,0.04530038265306122,0.0006645408163265306,0.0,0.328125,0.08414970338344574
cnn3__membrane_mlp,cnn3,membrane_mlp,13,0.9933,0.988,49,0.01739498299319728,0.051004464285714285,0.0011804846938775512,0.0,0.3229166666666667,0.08342712372541428
cnn3__spike_mlp,cnn3,spike_mlp,13,0.987,0.986,49,0.17822002551020408,0.369047193877551,0.14236670918367347,0.023246173469387753,0.9114583333333334,0.08009522408246994
cnn3__both_mlp,cnn3,both_mlp,12,0.9941,0.992,49,0.019948129251700683,0.058466198979591835,0.001378188775510204,0.0,0.3177083333333333,0.09369932115077972
cnn3__all_state_mlp,cnn3,all_state_mlp,13,0.9941,0.998,49,0.00949234693877551,0.02775446428571428,0.000722576530612245,0.0,0.2864583333333333,0.08918921649456024
cnn3__lif_count,cnn3,lif_count,14,0.9931,0.99,49,0.017635841836734695,0.052617984693877545,0.0002895408163265306,0.0,0.3229166666666667,0.07460948079824448
res_cnn__linear,res_cnn,linear,12,0.9932,0.99,98,0.00976105442176871,0.02877838010204082,0.0005047831632653062,0.0,0.3072916666666667,0.07940051704645157
res_cnn__membrane_mlp,res_cnn,membrane_mlp,13,0.9934,0.992,98,0.015195046768707482,0.04408545918367347,0.0014996811224489797,0.0,0.328125,0.07612717151641846
res_cnn__spike_mlp,res_cnn,spike_mlp,14,0.987,0.988,98,0.23576307397959184,0.46474489795918367,0.20557429846938777,0.03697002551020408,0.9583333333333334,0.07677602767944336
res_cnn__both_mlp,res_cnn,both_mlp,12,0.994,0.992,98,0.01428093112244898,0.04170599489795918,0.001136798469387755,0.0,0.3333333333333333,0.07869759202003479
res_cnn__all_state_mlp,res_cnn,all_state_mlp,13,0.994,0.988,98,0.006492346938775511,0.019056760204081633,0.00042028061224489794,0.0,0.2552083333333333,0.0813421905040741
res_cnn__lif_count,res_cnn,lif_count,14,0.9914,0.986,98,0.01710427295918367,0.05061926020408163,0.0006935586734693878,0.0,0.328125,0.06548703461885452
rows__linear,rows,linear,15,0.9703,0.968,28,0.01307514880952381,0.039040178571428566,0.00018526785714285715,0.0,0.2864583333333333,0.08793360739946365
rows__membrane_mlp,rows,membrane_mlp,12,0.9827,0.988,28,0.014682291666666665,0.04376674107142857,0.0002801339285714286,0.0,0.3072916666666667,0.08275526762008667
rows__spike_mlp,rows,spike_mlp,18,0.9404,0.93,28,0.17873363095238096,0.37021763392857143,0.14612276785714284,0.019860491071428572,0.8541666666666666,0.10750776529312134
rows__both_mlp,rows,both_mlp,13,0.9844,0.986,28,0.016040550595238096,0.04786495535714286,0.00025669642857142856,0.0,0.296875,0.07768474519252777
rows__all_state_mlp,rows,all_state_mlp,12,0.9835,0.986,28,0.013547991071428572,0.03980691964285714,0.0008370535714285714,0.0,0.3177083333333333,0.10343208909034729
rows__lif_count,rows,lif_count,11,0.9679,0.966,28,0.0166953125,0.04977455357142857,0.00031138392857142855,0.0,0.3229166666666667,0.0975569486618042
