split,model,k,correct,num_samples,accuracy,ci95_low,ci95_high
validation,702K,1,2043,4909,0.4161743735995111,0.4024562168379215,0.4300236205640456
validation,702K,5,3321,4909,0.676512528009778,0.6632925572299584,0.6894564607316347
validation,702K,10,3783,4909,0.7706253819515176,0.7586554238545448,0.7821721241685095
validation,2048-unit,1,1925,4909,0.3921368914239153,0.3785687457103868,0.40587371821267904
validation,2048-unit,5,3208,4909,0.653493583214504,0.6400667001806285,0.6666804262291354
validation,2048-unit,10,3710,4909,0.7557547361988185,0.7435391579629941,0.7675703539248074
validation,ensemble,1,2153,4909,0.438582195966592,0.42475458362795626,0.4525058561695968
validation,ensemble,5,3382,4909,0.6889386840497046,0.6758453158804234,0.7017365815914491
validation,ensemble,10,3856,4909,0.7854960277042168,0.7737924850264445,0.7967530991318622
test,702K,1,2021,4923,0.4105220394068657,0.3968554529832152,0.4243281577817069
test,702K,5,3272,4923,0.6646353849278895,0.6513233969760617,0.677690640424689
test,702K,10,3742,4923,0.7601056266504164,0.7479774042414461,0.7718282402886724
test,2048-unit,1,1876,4923,0.3810684541945968,0.36760002765199673,0.39472234261556716
test,2048-unit,5,3116,4923,0.6329473898029657,0.6193843634741273,0.6463030979432586
test,2048-unit,10,3646,4923,0.7406053219581556,0.7281775151194295,0.7526579288055416
test,ensemble,1,2103,4923,0.42717854966483854,0.4134225254501306,0.44104813166502177
test,ensemble,5,3346,4923,0.6796668697948406,0.666496979670603,0.6925565873632821
test,ensemble,10,3810,4923,0.7739183424741012,0.7620227838579935,0.785386752767438
combined,702K,1,4064,9832,0.41334418226200165,0.40364624003322136,0.42310981259999103
combined,702K,5,6593,9832,0.6705655004068348,0.6612101055740961,0.6797876640668697
combined,702K,10,7525,9832,0.7653580146460537,0.756878876807279,0.7736298775119098
combined,2048-unit,1,3801,9832,0.3865947925142392,0.37701523785193436,0.3962629296199339
combined,2048-unit,5,6324,9832,0.6432058584214809,0.6336824621533582,0.652617394527906
combined,2048-unit,10,7356,9832,0.7481692432872253,0.739493562083481,0.7566510759153002
combined,ensemble,1,4256,9832,0.43287225386493083,0.4231066333075219,0.4426903088731356
combined,ensemble,5,6728,9832,0.6842961757526445,0.6750383836621531,0.6934100114418601
combined,ensemble,10,7666,9832,0.7796989422294548,0.7713984059550268,0.787781001625567
