label,synset,name,support,top1_accuracy,top5_accuracy,top10_accuracy,mean_loss,mean_true_probability,mean_true_rank,median_true_rank,predicted_count,false_positive_count,precision,recall,f1
0,n01443537,"goldfish, Carassius auratus",50,0.66,0.86,0.9,1.4263437603559137,0.559785631885404,5.74,1.0,52,19,0.6346153846153846,0.66,0.6470588235294118
1,n01629819,"European fire salamander, Salamandra salamandra",50,0.78,0.9,0.92,1.133801672417741,0.671015434516488,4.56,1.0,72,33,0.5416666666666666,0.78,0.6393442622950819
2,n01641577,"bullfrog, Rana catesbeiana",50,0.34,0.74,0.88,2.4175594672842875,0.2700049528387001,8.02,3.0,60,43,0.2833333333333333,0.34,0.30909090909090914
3,n01644900,"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",50,0.24,0.66,0.82,2.9173801990205113,0.1857512051604978,8.6,3.0,56,44,0.21428571428571427,0.24,0.2264150943396226
4,n01698640,"American alligator, Alligator mississipiensis",49,0.3673469387755102,0.6122448979591837,0.7551020408163265,2.717019047993981,0.30618173993333037,13.16326530612245,2.0,64,46,0.28125,0.3673469387755102,0.31858407079646023
5,n01742172,"boa constrictor, Constrictor constrictor",50,0.2,0.46,0.64,3.5529252149756054,0.0898741338347835,11.62,7.5,43,33,0.23255813953488372,0.2,0.2150537634408602
6,n01768244,trilobite,50,0.52,0.74,0.78,2.152955817813355,0.38116830478648955,6.68,1.0,72,46,0.3611111111111111,0.52,0.42622950819672134
7,n01770393,scorpion,50,0.26,0.68,0.7,3.0730810297454267,0.17144179707684404,12.8,3.0,47,34,0.2765957446808511,0.26,0.268041237113402
8,n01774384,"black widow, Latrodectus mactans",50,0.56,0.72,0.8,1.9594624890777845,0.4791605169626706,5.22,1.0,48,20,0.5833333333333334,0.56,0.5714285714285714
9,n01774750,tarantula,50,0.26,0.52,0.68,3.622307669941679,0.17685304939842683,21.26,4.5,32,19,0.40625,0.26,0.3170731707317073
10,n01784675,centipede,50,0.32,0.5,0.62,3.704508150438672,0.1895416949507814,17.62,5.5,45,29,0.35555555555555557,0.32,0.3368421052631579
11,n01855672,goose,47,0.46808510638297873,0.6808510638297872,0.7446808510638298,2.529620049708023,0.32300999438609457,11.97872340425532,2.0,55,33,0.4,0.46808510638297873,0.43137254901960786
12,n01882714,"koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus",50,0.52,0.7,0.72,2.133694332034069,0.4422893268749671,9.54,1.0,60,34,0.43333333333333335,0.52,0.4727272727272728
13,n01910747,jellyfish,50,0.62,0.8,0.94,1.6196823280274129,0.5473042382851074,3.5,1.0,47,16,0.6595744680851063,0.62,0.6391752577319586
14,n01917289,brain coral,50,0.52,0.84,0.9,2.20114815919706,0.4034147705356103,11.32,1.0,55,29,0.4727272727272727,0.52,0.49523809523809526
15,n01944390,snail,49,0.2653061224489796,0.6122448979591837,0.7551020408163265,3.1661052440039654,0.1648834243294387,10.83673469387755,3.0,37,24,0.35135135135135137,0.2653061224489796,0.3023255813953489
16,n01945685,slug,49,0.1836734693877551,0.42857142857142855,0.7142857142857143,3.5888606093674986,0.14596013843596617,11.918367346938776,6.0,30,21,0.3,0.1836734693877551,0.22784810126582278
17,n01950731,"sea slug, nudibranch",50,0.5,0.78,0.88,2.0020688198733456,0.37145726512558314,8.28,1.5,57,32,0.43859649122807015,0.5,0.46728971962616817
18,n01983481,"American lobster, Northern lobster, Maine lobster, Homarus americanus",50,0.42,0.66,0.72,2.6217103584608044,0.27543497091893665,12.28,2.0,53,32,0.39622641509433965,0.42,0.4077669902912621
19,n01984695,"spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish",50,0.46,0.8,0.84,2.0583098168685763,0.38080304764717143,6.52,2.0,56,33,0.4107142857142857,0.46,0.43396226415094336
20,n02002724,"black stork, Ciconia nigra",49,0.4489795918367347,0.7142857142857143,0.8367346938775511,2.4225978470329514,0.30734846266291294,7.673469387755102,2.0,48,26,0.4583333333333333,0.4489795918367347,0.45360824742268036
21,n02056570,"king penguin, Aptenodytes patagonica",50,0.6,0.74,0.78,2.075351385089309,0.5435907627333839,12.14,1.0,60,30,0.5,0.6,0.5454545454545454
22,n02058221,"albatross, mollymawk",50,0.62,0.88,0.88,1.5285738460036822,0.513869299997909,6.02,1.0,50,19,0.62,0.62,0.62
23,n02074367,"dugong, Dugong dugon",50,0.82,0.88,0.94,0.8882495306122674,0.7586357728424872,2.56,1.0,67,26,0.6119402985074627,0.82,0.7008547008547008
24,n02085620,Chihuahua,49,0.061224489795918366,0.22448979591836735,0.5306122448979592,4.412165286694939,0.054072584272774005,20.020408163265305,10.0,30,27,0.1,0.061224489795918366,0.07594936708860761
25,n02094433,Yorkshire terrier,50,0.6,0.84,0.92,1.5757374723161033,0.434087363814333,4.22,1.0,75,45,0.4,0.6,0.48
26,n02099601,golden retriever,50,0.26,0.66,0.78,3.1910572391457315,0.18823247948955832,14.2,3.0,38,25,0.34210526315789475,0.26,0.29545454545454547
27,n02099712,Labrador retriever,50,0.08,0.46,0.68,3.6350829477314033,0.08788973532304684,13.84,7.0,27,23,0.14814814814814814,0.08,0.10389610389610389
28,n02106662,"German shepherd, German shepherd dog, German police dog, alsatian",50,0.38,0.66,0.7,3.2880365396495104,0.283122963317508,24.94,2.0,60,41,0.31666666666666665,0.38,0.34545454545454546
29,n02113799,standard poodle,49,0.12244897959183673,0.42857142857142855,0.5306122448979592,4.2984156252544645,0.08657288680500153,20.387755102040817,10.0,23,17,0.2608695652173913,0.12244897959183673,0.16666666666666666
30,n02123045,"tabby, tabby cat",50,0.22,0.6,0.78,2.911728386435278,0.15125971723399143,9.26,4.0,64,53,0.171875,0.22,0.1929824561403509
31,n02123394,Persian cat,49,0.6122448979591837,0.7142857142857143,0.8163265306122449,2.070007724698085,0.4121822764015938,6.755102040816326,1.0,74,44,0.40540540540540543,0.6122448979591837,0.4878048780487805
32,n02124075,Egyptian cat,50,0.1,0.5,0.64,3.5725671674572625,0.12560458977789443,14.06,5.5,38,33,0.13157894736842105,0.1,0.11363636363636363
33,n02125311,"cougar, puma, catamount, mountain lion, painter, panther, Felis concolor",50,0.28,0.72,0.86,2.537649487501165,0.1956699171000111,6.92,2.5,60,46,0.23333333333333334,0.28,0.2545454545454545
34,n02129165,"lion, king of beasts, Panthera leo",50,0.6,0.78,0.84,1.9992001948811946,0.46200044253884776,9.28,1.0,67,37,0.44776119402985076,0.6,0.5128205128205128
35,n02132136,"brown bear, bruin, Ursus arctos",49,0.6122448979591837,0.8367346938775511,0.8571428571428571,1.7494289187883492,0.4338132774813599,6.081632653061225,1.0,92,62,0.32608695652173914,0.6122448979591837,0.425531914893617
36,n02165456,"ladybug, ladybeetle, lady beetle, ladybird, ladybird beetle",50,0.6,0.84,0.92,1.4082206983965044,0.5329520313763243,4.36,1.0,44,14,0.6818181818181818,0.6,0.6382978723404256
37,n02190166,fly,49,0.5102040816326531,0.7142857142857143,0.8367346938775511,2.210660785864041,0.3723520434580315,9.020408163265307,1.0,57,32,0.43859649122807015,0.5102040816326531,0.4716981132075472
