label,synset,name,support,top1_accuracy,top5_accuracy,top10_accuracy,mean_loss,mean_true_probability,mean_true_rank,median_true_rank,predicted_count,false_positive_count,precision,recall,f1
0,n01443537,"goldfish, Carassius auratus",50,0.7,0.9,0.92,1.1967715920524875,0.6250363724144743,4.22,1.0,53,18,0.660377358490566,0.7,0.6796116504854369
1,n01629819,"European fire salamander, Salamandra salamandra",50,0.72,0.88,0.9,1.192317364263614,0.6684696105354585,5.02,1.0,57,21,0.631578947368421,0.72,0.6728971962616822
2,n01641577,"bullfrog, Rana catesbeiana",50,0.48,0.78,0.86,2.2796773419311567,0.3505634810581651,8.3,2.0,52,28,0.46153846153846156,0.48,0.47058823529411764
3,n01644900,"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",50,0.4,0.8,0.86,2.4880763457456276,0.24366766146585905,5.78,2.0,59,39,0.3389830508474576,0.4,0.3669724770642202
4,n01698640,"American alligator, Alligator mississipiensis",49,0.42857142857142855,0.6938775510204082,0.7346938775510204,2.658217351753128,0.3200945972283269,10.346938775510203,2.0,59,38,0.3559322033898305,0.42857142857142855,0.38888888888888884
5,n01742172,"boa constrictor, Constrictor constrictor",50,0.18,0.46,0.64,3.7045115139725806,0.12597374968611053,13.48,6.0,34,25,0.2647058823529412,0.18,0.21428571428571427
6,n01768244,trilobite,50,0.46,0.7,0.78,2.3108780561408637,0.40346152866683704,10.34,2.0,43,20,0.5348837209302325,0.46,0.4946236559139785
7,n01770393,scorpion,50,0.24,0.64,0.82,2.999605164709458,0.16803930787354787,8.96,3.5,39,27,0.3076923076923077,0.24,0.26966292134831465
8,n01774384,"black widow, Latrodectus mactans",50,0.64,0.8,0.9,1.6672744507420167,0.5488339495067295,4.36,1.0,61,29,0.5245901639344263,0.64,0.5765765765765766
9,n01774750,tarantula,50,0.48,0.66,0.8,2.720694683603556,0.338614203286384,11.36,2.0,68,44,0.35294117647058826,0.48,0.4067796610169491
10,n01784675,centipede,50,0.26,0.6,0.66,3.454669846883817,0.1913533892514385,14.14,3.0,44,31,0.29545454545454547,0.26,0.27659574468085113
11,n01855672,goose,47,0.48936170212765956,0.7446808510638298,0.851063829787234,2.0362620968946654,0.39384573818812746,6.361702127659575,2.0,50,27,0.46,0.48936170212765956,0.4742268041237113
12,n01882714,"koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus",50,0.54,0.7,0.88,2.0256048700056546,0.45440169303086897,10.72,1.0,55,28,0.4909090909090909,0.54,0.5142857142857142
13,n01910747,jellyfish,50,0.6,0.82,0.9,1.7368307203516207,0.5595870583461519,3.98,1.0,52,22,0.5769230769230769,0.6,0.5882352941176471
14,n01917289,brain coral,50,0.44,0.86,0.9,2.0680491004788584,0.41563626729601133,8.24,2.0,40,18,0.55,0.44,0.48888888888888893
15,n01944390,snail,49,0.2857142857142857,0.5918367346938775,0.6938775510204082,3.4096683313559573,0.21399246388689266,15.755102040816327,3.0,38,24,0.3684210526315789,0.2857142857142857,0.32183908045977017
16,n01945685,slug,49,0.24489795918367346,0.6122448979591837,0.6938775510204082,3.494887058135073,0.21078220787267235,15.795918367346939,4.0,45,33,0.26666666666666666,0.24489795918367346,0.2553191489361702
17,n01950731,"sea slug, nudibranch",50,0.48,0.86,0.92,1.6767200499837493,0.40741349798514503,3.2,2.0,51,27,0.47058823529411764,0.48,0.4752475247524752
18,n01983481,"American lobster, Northern lobster, Maine lobster, Homarus americanus",50,0.46,0.7,0.78,2.771724213650131,0.3400242811297083,16.44,2.0,61,38,0.3770491803278688,0.46,0.4144144144144144
19,n01984695,"spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish",50,0.5,0.84,0.9,1.8797616916783457,0.39637384815788357,4.34,1.5,60,35,0.4166666666666667,0.5,0.45454545454545453
20,n02002724,"black stork, Ciconia nigra",49,0.6122448979591837,0.7755102040816326,0.8979591836734694,1.6201931928349989,0.5000740348853513,4.795918367346939,1.0,60,30,0.5,0.6122448979591837,0.5504587155963303
21,n02056570,"king penguin, Aptenodytes patagonica",50,0.58,0.68,0.78,2.265672477659636,0.5565641616912824,14.22,1.0,41,12,0.7073170731707317,0.58,0.6373626373626374
22,n02058221,"albatross, mollymawk",50,0.7,0.8,0.88,1.6075905247042053,0.5990925622182318,4.56,1.0,55,20,0.6363636363636364,0.7,0.6666666666666666
23,n02074367,"dugong, Dugong dugon",50,0.76,0.94,0.98,0.829317307849148,0.7030123975830562,1.98,1.0,55,17,0.6909090909090909,0.76,0.7238095238095238
24,n02085620,Chihuahua,49,0.12244897959183673,0.42857142857142855,0.5714285714285714,4.10095682609413,0.08079182010776402,16.26530612244898,8.0,45,39,0.13333333333333333,0.12244897959183673,0.1276595744680851
25,n02094433,Yorkshire terrier,50,0.66,0.88,0.96,1.47812189477713,0.43935774309971637,3.22,1.0,72,39,0.4583333333333333,0.66,0.540983606557377
26,n02099601,golden retriever,50,0.44,0.76,0.84,2.44035679101082,0.29000829306155657,7.2,2.0,64,42,0.34375,0.44,0.3859649122807018
27,n02099712,Labrador retriever,50,0.2,0.62,0.82,3.022985193282519,0.1649998422032458,9.3,3.5,41,31,0.24390243902439024,0.2,0.21978021978021978
28,n02106662,"German shepherd, German shepherd dog, German police dog, alsatian",50,0.42,0.64,0.72,3.2436885370708755,0.3077443952078889,21.02,2.0,47,26,0.44680851063829785,0.42,0.43298969072164945
