label,synset,name,support,top1_accuracy,top5_accuracy,top10_accuracy,mean_loss,mean_true_probability,mean_true_rank,median_true_rank,predicted_count,false_positive_count,precision,recall,f1
0,n01443537,"goldfish, Carassius auratus",50,0.72,0.9,0.92,1.130324177265688,0.5924110021499392,5.1,1.0,53,17,0.6792452830188679,0.72,0.6990291262135921
1,n01629819,"European fire salamander, Salamandra salamandra",50,0.82,0.88,0.92,1.0526642152706327,0.6697425225259734,4.26,1.0,66,25,0.6212121212121212,0.82,0.706896551724138
2,n01641577,"bullfrog, Rana catesbeiana",50,0.48,0.78,0.92,2.11179183110095,0.3102842169484326,7.5,2.0,61,37,0.39344262295081966,0.48,0.43243243243243246
3,n01644900,"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",50,0.32,0.76,0.86,2.434546867417507,0.2147094333131785,5.56,2.0,56,40,0.2857142857142857,0.32,0.30188679245283023
4,n01698640,"American alligator, Alligator mississipiensis",49,0.42857142857142855,0.6326530612244898,0.8163265306122449,2.4560837988223496,0.31313816858082866,9.673469387755102,2.0,63,42,0.3333333333333333,0.42857142857142855,0.375
5,n01742172,"boa constrictor, Constrictor constrictor",50,0.22,0.44,0.66,3.4086913783056216,0.107923941760447,12.1,7.0,37,26,0.2972972972972973,0.22,0.2528735632183908
6,n01768244,trilobite,50,0.46,0.7,0.82,1.9837256029438421,0.39231491672666313,6.62,2.0,48,25,0.4791666666666667,0.46,0.46938775510204084
7,n01770393,scorpion,50,0.24,0.72,0.74,2.7672243699403993,0.16974055247519598,9.5,3.0,35,23,0.34285714285714286,0.24,0.2823529411764706
8,n01774384,"black widow, Latrodectus mactans",50,0.62,0.78,0.88,1.6308518565467331,0.5139972332347001,4.3,1.0,53,22,0.5849056603773585,0.62,0.6019417475728155
9,n01774750,tarantula,50,0.44,0.66,0.74,2.818947429210285,0.25773362634240543,13.26,2.0,55,33,0.4,0.44,0.41904761904761906
10,n01784675,centipede,50,0.3,0.58,0.64,3.31812375654875,0.19044754210110992,14.92,4.0,47,32,0.3191489361702128,0.3,0.30927835051546393
11,n01855672,goose,47,0.48936170212765956,0.7446808510638298,0.7872340425531915,2.065410790662091,0.358427866287111,6.9361702127659575,2.0,53,30,0.4339622641509434,0.48936170212765956,0.45999999999999996
12,n01882714,"koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus",50,0.56,0.72,0.86,1.883648993812733,0.44834550995291805,9.18,1.0,58,30,0.4827586206896552,0.56,0.5185185185185185
13,n01910747,jellyfish,50,0.64,0.8,0.9,1.5560114053725185,0.5534456483156296,3.16,1.0,48,16,0.6666666666666666,0.64,0.6530612244897959
14,n01917289,brain coral,50,0.48,0.84,0.94,1.8462765159424044,0.4095255189158108,8.02,2.0,44,20,0.5454545454545454,0.48,0.5106382978723404
15,n01944390,snail,49,0.2653061224489796,0.6530612244897959,0.7346938775510204,2.980439708280104,0.1894379441081657,11.0,3.0,35,22,0.37142857142857144,0.2653061224489796,0.30952380952380953
16,n01945685,slug,49,0.2653061224489796,0.5102040816326531,0.7142857142857143,3.187874621819924,0.17837117315431927,12.122448979591837,4.0,39,26,0.3333333333333333,0.2653061224489796,0.29545454545454547
17,n01950731,"sea slug, nudibranch",50,0.54,0.82,0.92,1.5686153888032992,0.3894353815553641,3.4,1.0,59,32,0.4576271186440678,0.54,0.4954128440366973
18,n01983481,"American lobster, Northern lobster, Maine lobster, Homarus americanus",50,0.46,0.72,0.8,2.3974709579273967,0.30772962602432247,12.74,2.0,57,34,0.40350877192982454,0.46,0.42990654205607476
19,n01984695,"spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish",50,0.56,0.86,0.92,1.7941330809938538,0.38858844790252745,4.4,1.0,64,36,0.4375,0.56,0.4912280701754386
