model,coverage,num_samples,accuracy,risk,minimum_confidence,mean_confidence
702K,1.0,9832,0.41334418226200165,0.5866558177379984,0.0645343233624543,0.53618795916995
702K,0.9,8849,0.44750819301616,0.55249180698384,0.20056176387092625,0.5778932859625389
702K,0.75,7374,0.5056956875508544,0.49430431244914563,0.30030494802478963,0.6434135833309452
702K,0.5,4916,0.6322213181448332,0.3677786818551668,0.4875507229161934,0.7708604312336453
702K,0.25,2458,0.8258746948738812,0.1741253051261188,0.778553066763328,0.9212032101216993
702K,0.1,983,0.9450661241098678,0.05493387589013221,0.959819130719309,0.9869512616537679
2048-unit,1.0,9832,0.3865947925142392,0.6134052074857608,0.054237223135950384,0.4920321715741277
2048-unit,0.9,8849,0.41925641315402873,0.5807435868459713,0.1785399864979319,0.5310676190898787
2048-unit,0.75,7374,0.47653919175481424,0.5234608082451857,0.26627843216331426,0.5929076252372437
2048-unit,0.5,4916,0.5958096013018714,0.40419039869812856,0.4340685054592783,0.7176090121727509
2048-unit,0.25,2458,0.7794955248169243,0.2205044751830757,0.7008610570142099,0.8799683457453015
2048-unit,0.1,983,0.9450661241098678,0.05493387589013221,0.9296724235665437,0.9743831274756045
ensemble,1.0,9832,0.43287225386493083,0.5671277461350692,0.06467571009956631,0.4682133119195169
ensemble,0.9,8849,0.4694315741891739,0.5305684258108261,0.17151435884993735,0.505045031031844
ensemble,0.75,7374,0.532546786004882,0.46745321399511797,0.24849391908009227,0.5639933319404989
ensemble,0.5,4916,0.6682262001627339,0.33177379983726607,0.4028847405403262,0.6842267226283747
ensemble,0.25,2458,0.8498779495524816,0.15012205044751836,0.6560986127669637,0.856149582998166
ensemble,0.1,983,0.965412004069176,0.034587995930823956,0.9141580359007258,0.9693457953102202
