split,model,num_samples,nll,ci95_low,ci95_high,paired_t_p
validation,702K,4909,2.639307524931601,2.5665635098022643,2.7120515400609375,
validation,2048-unit,4909,2.6921220334227973,2.623514198080106,2.7607298687654884,
validation,ensemble,4909,2.4316519936089644,2.368120874978702,2.4951831122392267,
validation,702K minus 2048-unit,4909,-0.05281450849119619,-0.09657639776375045,-0.009052619218641936,0.018049089421505266
validation,ensemble minus 702K,4909,-0.2076555313226368,-0.23193383342946192,-0.1833772292158117,2.2243495130569498e-61
validation,ensemble minus 2048-unit,4909,-0.26047003981383304,-0.2845561061350832,-0.23638397349258292,1.7853500648482358e-95
test,702K,4923,2.679942034120561,2.6073324286391766,2.7525516396019456,
test,2048-unit,4923,2.7859734494458173,2.717129445650079,2.8548174532415556,
test,ensemble,4923,2.4933680099050375,2.429508710922782,2.5572273088872928,
test,702K minus 2048-unit,4923,-0.10603141532525659,-0.15019845430563777,-0.06186437634487541,2.6047881786353396e-06
test,ensemble minus 702K,4923,-0.18657402421552305,-0.21036658111349893,-0.16278146731754717,4.187967591797428e-52
test,ensemble minus 2048-unit,4923,-0.2926054395407796,-0.3176008830985768,-0.2676099959829824,9.108769122431319e-111
combined,702K,9832,2.659653709709596,2.6082645499244643,2.7110428694947277,
combined,2048-unit,9832,2.7391145599770415,2.690511256622957,2.787717863331126,
combined,ensemble,9832,2.462553941150214,2.4175122616901263,2.5075956206103016,
combined,702K minus 2048-unit,9832,-0.07946085026744511,-0.11055205868653087,-0.048369641848359346,5.562269152677612e-07
combined,ensemble minus 702K,9832,-0.19709976855938205,-0.21409619233201987,-0.18010334478674422,1.681389662366368e-111
combined,ensemble minus 2048-unit,9832,-0.27656061882682714,-0.29391948759662245,-0.25920175005703183,3.5343561703717405e-204
