split,model_a,model_b,k,a_only_correct,b_only_correct,discordant,accuracy_difference,ci95_low,ci95_high,mcnemar_exact_p
validation,702K,2048-unit,1,520,402,922,0.024037482175595846,0.011931620667428564,0.036143343683763124,0.00011429973662733896
validation,702K,2048-unit,5,444,331,775,0.023018944795273985,0.011921573681174233,0.03411631590937374,5.582952105670981e-05
validation,702K,2048-unit,10,374,301,675,0.014870645752699124,0.004504873088526314,0.025236418416871933,0.005544390933263896
validation,ensemble,702K,1,268,158,426,0.022407822367080873,0.014190240826846803,0.030625403907314944,1.0991077468673401e-07
validation,ensemble,702K,5,222,161,383,0.012426156039926665,0.004619437839903937,0.02023287423994939,0.0021297955723974986
validation,ensemble,702K,10,196,123,319,0.014870645752699124,0.007751064888083405,0.021990226617314843,5.174778288931667e-05
validation,ensemble,2048-unit,1,390,162,552,0.046445304542676716,0.03715430105287541,0.05573630803247802,1.0667198644117327e-22
validation,ensemble,2048-unit,5,300,126,426,0.03544510083520065,0.027263517607938836,0.043626684062462465,1.8505816020698386e-17
validation,ensemble,2048-unit,10,261,115,376,0.029741291505398247,0.022043415574507192,0.037439167436289306,3.616115795545588e-14
test,702K,2048-unit,1,539,394,933,0.029453585212268943,0.017319503207760892,0.041587667216776994,2.3197563503097054e-06
test,702K,2048-unit,5,496,340,836,0.031687995124923825,0.02020969201931883,0.043166298230528824,7.624477798016718e-08
test,702K,2048-unit,10,417,321,738,0.019500304692260818,0.008697437713215921,0.030303171671305716,0.0004627182273047211
test,ensemble,702K,1,265,183,448,0.01665651025797278,0.008241816024292213,0.02507120449165335,0.0001246885686083437
test,ensemble,702K,5,232,158,390,0.015031484866951047,0.007179590372532324,0.02288337936136977,0.0002100355604800425
test,ensemble,702K,10,210,142,352,0.013812715823684745,0.006352463827679501,0.02127296781968999,0.0003420458223504459
test,ensemble,2048-unit,1,378,151,529,0.046110095470241724,0.03704336778243212,0.05517682315805133,1.7779446692685923e-23
test,ensemble,2048-unit,5,362,132,494,0.046719479991874875,0.03796661296648472,0.05547234701726503,8.467617055934991e-26
test,ensemble,2048-unit,10,281,117,398,0.03331302051594556,0.025424374248208793,0.04120166678368233,1.1287988347525623e-16
combined,702K,2048-unit,1,1059,796,1855,0.02674938974776241,0.01817950131127623,0.035319278184248584,1.1076407980718062e-09
combined,702K,2048-unit,5,940,671,1611,0.027359641985353945,0.019376354241462505,0.03534292972924538,2.1970117561693605e-11
combined,702K,2048-unit,10,791,622,1413,0.017188771358828316,0.009702725049174528,0.024674817668482105,7.665716397068524e-06
combined,ensemble,702K,1,533,341,874,0.01952807160292921,0.0136470811242521,0.025409062081606322,8.802204457990701e-11
combined,ensemble,702K,5,454,319,773,0.013730675345809601,0.008194667280364797,0.019266683411254405,1.3562936438232745e-06
combined,ensemble,702K,10,406,265,671,0.01434092758340114,0.009184674768873484,0.019497180397928797,5.8319170702027844e-08
combined,ensemble,2048-unit,1,768,313,1081,0.04627746135069162,0.039787087424879915,0.052767835276503326,1.1058107732982447e-44
combined,ensemble,2048-unit,5,662,258,920,0.04109031733116355,0.03509836659893777,0.047082268063389325,1.2938848901472836e-41
combined,ensemble,2048-unit,10,542,232,774,0.031529698942229456,0.026018587999901584,0.037040809884557324,2.0157498459378945e-29
