label,synset,name,support,702k_top1_accuracy,702k_top5_accuracy,702k_top10_accuracy,702k_mean_loss,702k_mean_true_rank,702k_precision,702k_recall,702k_f1,2048unit_top1_accuracy,2048unit_top5_accuracy,2048unit_top10_accuracy,2048unit_mean_loss,2048unit_mean_true_rank,2048unit_precision,2048unit_recall,2048unit_f1,ensemble_top1_accuracy,ensemble_top5_accuracy,ensemble_top10_accuracy,ensemble_mean_loss,ensemble_mean_true_rank,ensemble_precision,ensemble_recall,ensemble_f1,small_minus_large_top1_accuracy,ensemble_minus_small_top1_accuracy,small_minus_large_top5_accuracy,ensemble_minus_small_top5_accuracy,small_minus_large_top10_accuracy,ensemble_minus_small_top10_accuracy,small_minus_large_mean_loss,ensemble_minus_small_mean_loss
0,n01443537,"goldfish, Carassius auratus",50,0.7,0.9,0.92,1.1967715920524875,4.22,0.660377358490566,0.7,0.6796116504854369,0.66,0.86,0.9,1.4263437603559137,5.74,0.6346153846153846,0.66,0.6470588235294118,0.72,0.9,0.92,1.130324177265688,5.1,0.6792452830188679,0.72,0.6990291262135921,0.039999999999999925,0.020000000000000018,0.040000000000000036,0.0,0.020000000000000018,0.0,-0.2295721683034262,-0.0664474147867995
1,n01629819,"European fire salamander, Salamandra salamandra",50,0.72,0.88,0.9,1.192317364263614,5.02,0.631578947368421,0.72,0.6728971962616822,0.78,0.9,0.92,1.133801672417741,4.56,0.5416666666666666,0.78,0.6393442622950819,0.82,0.88,0.92,1.0526642152706327,4.26,0.6212121212121212,0.82,0.706896551724138,-0.06000000000000005,0.09999999999999998,-0.020000000000000018,0.0,-0.020000000000000018,0.020000000000000018,0.05851569184587291,-0.1396531489929813
2,n01641577,"bullfrog, Rana catesbeiana",50,0.48,0.78,0.86,2.2796773419311567,8.3,0.4615384615384615,0.48,0.4705882352941176,0.34,0.74,0.88,2.4175594672842875,8.02,0.2833333333333333,0.34,0.3090909090909091,0.48,0.78,0.92,2.11179183110095,7.5,0.3934426229508196,0.48,0.4324324324324324,0.13999999999999996,0.0,0.040000000000000036,0.0,-0.020000000000000018,0.06000000000000005,-0.13788212535313082,-0.16788551083020664
3,n01644900,"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",50,0.4,0.8,0.86,2.488076345745628,5.78,0.3389830508474576,0.4,0.3669724770642202,0.24,0.66,0.82,2.9173801990205117,8.6,0.2142857142857142,0.24,0.2264150943396226,0.32,0.76,0.86,2.434546867417507,5.56,0.2857142857142857,0.32,0.3018867924528302,0.16000000000000003,-0.08000000000000002,0.14,-0.040000000000000036,0.040000000000000036,0.0,-0.42930385327488363,-0.05352947832812127
4,n01698640,"American alligator, Alligator mississipiensis",49,0.4285714285714285,0.6938775510204082,0.7346938775510204,2.658217351753128,10.346938775510203,0.3559322033898305,0.4285714285714285,0.3888888888888888,0.3673469387755102,0.6122448979591837,0.7551020408163265,2.717019047993981,13.16326530612245,0.28125,0.3673469387755102,0.3185840707964602,0.4285714285714285,0.6326530612244898,0.8163265306122449,2.4560837988223496,9.673469387755102,0.3333333333333333,0.4285714285714285,0.375,0.06122448979591827,0.0,0.08163265306122447,-0.061224489795918324,-0.020408163265306034,0.08163265306122447,-0.05880169624085285,-0.2021335529307784
5,n01742172,"boa constrictor, Constrictor constrictor",50,0.18,0.46,0.64,3.7045115139725806,13.48,0.2647058823529412,0.18,0.2142857142857142,0.2,0.46,0.64,3.552925214975605,11.62,0.2325581395348837,0.2,0.2150537634408602,0.22,0.44,0.66,3.4086913783056216,12.1,0.2972972972972973,0.22,0.2528735632183908,-0.020000000000000018,0.04000000000000001,0.0,-0.020000000000000018,0.0,0.020000000000000018,0.15158629899697562,-0.29582013566695897
6,n01768244,trilobite,50,0.46,0.7,0.78,2.310878056140864,10.34,0.5348837209302325,0.46,0.4946236559139785,0.52,0.74,0.78,2.152955817813355,6.68,0.3611111111111111,0.52,0.4262295081967213,0.46,0.7,0.82,1.983725602943842,6.62,0.4791666666666667,0.46,0.4693877551020408,-0.06,0.0,-0.040000000000000036,0.0,0.0,0.039999999999999925,0.15792223832750896,-0.32715245319702224
7,n01770393,scorpion,50,0.24,0.64,0.82,2.999605164709458,8.96,0.3076923076923077,0.24,0.2696629213483146,0.26,0.68,0.7,3.0730810297454267,12.8,0.2765957446808511,0.26,0.268041237113402,0.24,0.72,0.74,2.7672243699403998,9.5,0.3428571428571428,0.24,0.2823529411764706,-0.020000000000000018,0.0,-0.040000000000000036,0.07999999999999996,0.12,-0.07999999999999996,-0.07347586503596881,-0.23238079476905815
8,n01774384,"black widow, Latrodectus mactans",50,0.64,0.8,0.9,1.6672744507420167,4.36,0.5245901639344263,0.64,0.5765765765765766,0.56,0.72,0.8,1.9594624890777843,5.22,0.5833333333333334,0.56,0.5714285714285714,0.62,0.78,0.88,1.6308518565467331,4.3,0.5849056603773585,0.62,0.6019417475728155,0.07999999999999996,-0.020000000000000018,0.08000000000000007,-0.020000000000000018,0.09999999999999998,-0.020000000000000018,-0.29218803833576756,-0.0364225941952836
9,n01774750,tarantula,50,0.48,0.66,0.8,2.720694683603556,11.36,0.3529411764705882,0.48,0.4067796610169491,0.26,0.52,0.68,3.622307669941679,21.26,0.40625,0.26,0.3170731707317073,0.44,0.66,0.74,2.818947429210285,13.26,0.4,0.44,0.419047619047619,0.21999999999999997,-0.03999999999999998,0.14,0.0,0.12,-0.06000000000000005,-0.9016129863381233,0.09825274560672925
